"","id","average_depth","anomaly_score","status"
"66",66,7.95,0.58,"normal"
"67",67,7.8,0.59,"normal"
"68",68,7.98,0.58,"normal"
"69",69,8,0.58,"normal"
"70",70,7.98,0.58,"normal"
"71",71,7.98,0.58,"normal"
"72",72,8,0.58,"normal"
"73",73,7.5,0.6,"normal"
"74",74,8,0.58,"normal"
"75",75,7.94,0.58,"normal"
"76",76,7.76,0.59,"normal"
"77",77,7.81,0.59,"normal"
"78",78,7.81,0.59,"normal"
"79",79,7.85,0.59,"normal"
"80",80,7.91,0.59,"normal"
"81",81,7.99,0.58,"normal"
"82",82,7.81,0.59,"normal"
"83",83,7.74,0.59,"normal"
"84",84,7.97,0.58,"normal"
"85",85,7.9,0.59,"normal"
"86",86,7.69,0.59,"normal"
"87",87,7.29,0.61,"normal"
"88",88,7.45,0.6,"normal"
"89",89,7.26,0.61,"normal"
"90",90,7.76,0.59,"normal"
"91",91,7.71,0.59,"normal"
"92",92,7.26,0.61,"normal"
"93",93,7.86,0.59,"normal"
"94",94,7.93,0.58,"normal"
"95",95,7.73,0.59,"normal"
"96",96,7.91,0.59,"normal"
"97",97,7.9,0.59,"normal"
"98",98,7.84,0.59,"normal"
"99",99,7.97,0.58,"normal"
"100",100,7.97,0.58,"normal"
"101",101,7.91,0.59,"normal"
"102",102,7.95,0.58,"normal"
"103",103,7.78,0.59,"normal"
"104",104,7.72,0.59,"normal"
"105",105,7.77,0.59,"normal"
"106",106,7.28,0.61,"normal"
"107",107,7.91,0.59,"normal"
"108",108,7.96,0.58,"normal"
"109",109,7.74,0.59,"normal"
"110",110,7.86,0.59,"normal"
"111",111,7.55,0.6,"normal"
"112",112,7.94,0.58,"normal"
"113",113,7.93,0.58,"normal"
"114",114,7.65,0.6,"normal"
"115",115,7.95,0.58,"normal"
"116",116,7.86,0.59,"normal"
"117",117,7.79,0.59,"normal"
"118",118,7.67,0.6,"normal"
"119",119,7.99,0.58,"normal"
"120",120,7.94,0.58,"normal"
"121",121,7.84,0.59,"normal"
"122",122,7.98,0.58,"normal"
"123",123,7.96,0.58,"normal"
"124",124,7.91,0.59,"normal"
"125",125,7.95,0.58,"normal"
"126",126,7.89,0.59,"normal"
"127",127,7.9,0.59,"normal"
"128",128,7.81,0.59,"normal"
"129",129,7.86,0.59,"normal"
"130",130,7.73,0.59,"normal"
"131",131,7.98,0.58,"normal"
"132",132,7.94,0.58,"normal"
"133",133,7.96,0.58,"normal"
"134",134,7.98,0.58,"normal"
"135",135,7.96,0.58,"normal"
"136",136,7.93,0.58,"normal"
"137",137,7.99,0.58,"normal"
"138",138,7.6,0.6,"normal"
"139",139,7.94,0.58,"normal"
"140",140,7.37,0.61,"normal"
"141",141,7.27,0.61,"normal"
"142",142,7.95,0.58,"normal"
"143",143,7.95,0.58,"normal"
"144",144,7.63,0.6,"normal"
"145",145,7.73,0.59,"normal"
"146",146,7.83,0.59,"normal"
"147",147,7.99,0.58,"normal"
"148",148,7.83,0.59,"normal"
"149",149,7.89,0.59,"normal"
"150",150,7.62,0.6,"normal"
"151",151,7.99,0.58,"normal"
"152",152,7.74,0.59,"normal"
"153",153,7.02,0.62,"normal"
"154",154,7.96,0.58,"normal"
"155",155,7.97,0.58,"normal"
"156",156,7.99,0.58,"normal"
"157",157,7.97,0.58,"normal"
"158",158,7.1,0.62,"normal"
"159",159,7.83,0.59,"normal"
"160",160,7.95,0.58,"normal"
"161",161,7.93,0.58,"normal"
"162",162,7.98,0.58,"normal"
"163",163,7.97,0.58,"normal"
"164",164,7.73,0.59,"normal"
"165",165,7.92,0.59,"normal"
"166",166,7.74,0.59,"normal"
"167",167,7.93,0.58,"normal"
"168",168,7.78,0.59,"normal"
"169",169,7.93,0.58,"normal"
"170",170,7.85,0.59,"normal"
"171",171,7.64,0.6,"normal"
"172",172,6.98,0.62,"normal"
"173",173,7.79,0.59,"normal"
"174",174,7.02,0.62,"normal"
"175",175,7.9,0.59,"normal"
"176",176,7.8,0.59,"normal"
"177",177,7.92,0.59,"normal"
"178",178,7.94,0.58,"normal"
"179",179,7.92,0.59,"normal"
"180",180,7.89,0.59,"normal"
"181",181,7.97,0.58,"normal"
"182",182,7.9,0.59,"normal"
"183",183,7.8,0.59,"normal"
"184",184,7.83,0.59,"normal"
"185",185,7.64,0.6,"normal"
"186",186,7.93,0.58,"normal"
"187",187,7.75,0.59,"normal"
"188",188,7.44,0.6,"normal"
"189",189,7.82,0.59,"normal"
"190",190,7.76,0.59,"normal"
"191",191,7.92,0.59,"normal"
"192",192,7.82,0.59,"normal"
"193",193,7.97,0.58,"normal"
"194",194,6.99,0.62,"normal"
"195",195,7.89,0.59,"normal"
"196",196,7.92,0.59,"normal"
"197",197,7.79,0.59,"normal"
"198",198,7.98,0.58,"normal"
"199",199,7.93,0.58,"normal"
"200",200,7.94,0.58,"normal"
"201",201,7.95,0.58,"normal"
"202",202,7.78,0.59,"normal"
"203",203,7.8,0.59,"normal"
"204",204,7.93,0.58,"normal"
"205",205,7.92,0.59,"normal"
"206",206,7.81,0.59,"normal"
"207",207,7.95,0.58,"normal"
"208",208,7.98,0.58,"normal"
"209",209,7.7,0.59,"normal"
"210",210,7.79,0.59,"normal"
"211",211,7.83,0.59,"normal"
"212",212,7.89,0.59,"normal"
"213",213,7.31,0.61,"normal"
"214",214,7.87,0.59,"normal"
"215",215,7.83,0.59,"normal"
"216",216,7.8,0.59,"normal"
"217",217,7.82,0.59,"normal"
"218",218,7.79,0.59,"normal"
"219",219,7.71,0.59,"normal"
"220",220,7.96,0.58,"normal"
"221",221,7.99,0.58,"normal"
"222",222,7.16,0.62,"normal"
"223",223,7.98,0.58,"normal"
"224",224,7.82,0.59,"normal"
"225",225,7.62,0.6,"normal"
"226",226,7.1,0.62,"normal"
"227",227,7.78,0.59,"normal"
"228",228,8,0.58,"normal"
"229",229,8,0.58,"normal"
"230",230,7.73,0.59,"normal"
"231",231,7.92,0.59,"normal"
"232",232,7.94,0.58,"normal"
"233",233,7.93,0.58,"normal"
"234",234,7.91,0.59,"normal"
"235",235,7.87,0.59,"normal"
"236",236,7.86,0.59,"normal"
"237",237,7.97,0.58,"normal"
"238",238,7.91,0.59,"normal"
"239",239,7.81,0.59,"normal"
"240",240,7.97,0.58,"normal"
"241",241,7.91,0.59,"normal"
"242",242,7.83,0.59,"normal"
"243",243,7.94,0.58,"normal"
"244",244,7.86,0.59,"normal"
"245",245,7.82,0.59,"normal"
"246",246,7.73,0.59,"normal"
"247",247,7.97,0.58,"normal"
"248",248,7.95,0.58,"normal"
"249",249,7.99,0.58,"normal"
"250",250,7.5,0.6,"normal"
"251",251,7.78,0.59,"normal"
"252",252,7.81,0.59,"normal"
"253",253,6.91,0.63,"anomalia"
"254",254,7.73,0.59,"normal"
"255",255,7.94,0.58,"normal"
"256",256,7.89,0.59,"normal"
"257",257,7.06,0.62,"normal"
"258",258,7.77,0.59,"normal"
"259",259,7.91,0.59,"normal"
"260",260,7.98,0.58,"normal"
"261",261,7.97,0.58,"normal"
"262",262,7.93,0.58,"normal"
"263",263,7.31,0.61,"normal"
"264",264,7.85,0.59,"normal"
"265",265,7.98,0.58,"normal"
"266",266,7.07,0.62,"normal"
"267",267,7.86,0.59,"normal"
"268",268,7.81,0.59,"normal"
"269",269,7.66,0.6,"normal"
"270",270,7.95,0.58,"normal"
"271",271,7.93,0.58,"normal"
"272",272,7.95,0.58,"normal"
"273",273,7.86,0.59,"normal"
"274",274,7.23,0.61,"normal"
"275",275,7.94,0.58,"normal"
"276",276,7.59,0.6,"normal"
"277",277,7.9,0.59,"normal"
"278",278,7.76,0.59,"normal"
"279",279,7.9,0.59,"normal"
"280",280,7.28,0.61,"normal"
"281",281,7.8,0.59,"normal"
"282",282,7.9,0.59,"normal"
"283",283,7.53,0.6,"normal"
"284",284,7.34,0.61,"normal"
"285",285,7.97,0.58,"normal"
"286",286,7.97,0.58,"normal"
"287",287,7.92,0.59,"normal"
"288",288,7.97,0.58,"normal"
"289",289,7.95,0.58,"normal"
"290",290,7.99,0.58,"normal"
"291",291,6.84,0.63,"anomalia"
"292",292,7.93,0.58,"normal"
"293",293,7.58,0.6,"normal"
"294",294,7.89,0.59,"normal"
"295",295,7.63,0.6,"normal"
"296",296,7.84,0.59,"normal"
"297",297,7.97,0.58,"normal"
"298",298,7.94,0.58,"normal"
"299",299,7.12,0.62,"normal"
"300",300,7.91,0.59,"normal"
"301",301,7.1,0.62,"normal"
"302",302,7.97,0.58,"normal"
"303",303,7.94,0.58,"normal"
"304",304,7.77,0.59,"normal"
"305",305,7.74,0.59,"normal"
"306",306,7.74,0.59,"normal"
"307",307,7.95,0.58,"normal"
"308",308,7.24,0.61,"normal"
"309",309,7.96,0.58,"normal"
"310",310,7.83,0.59,"normal"
"311",311,7.73,0.59,"normal"
"312",312,7.91,0.59,"normal"
"313",313,7.95,0.58,"normal"
"314",314,7.88,0.59,"normal"
"315",315,7.91,0.59,"normal"
"316",316,7.96,0.58,"normal"
"317",317,7.79,0.59,"normal"
"318",318,7.52,0.6,"normal"
"319",319,7.98,0.58,"normal"
"320",320,7.4,0.61,"normal"
"321",321,7.94,0.58,"normal"
"322",322,7.95,0.58,"normal"
"323",323,7.95,0.58,"normal"
"324",324,7.1,0.62,"normal"
"325",325,7.72,0.59,"normal"
"326",326,7.86,0.59,"normal"
"327",327,7.97,0.58,"normal"
"328",328,7.86,0.59,"normal"
"329",329,7.78,0.59,"normal"
"330",330,7.93,0.58,"normal"
"331",331,7.92,0.59,"normal"
"332",332,7.9,0.59,"normal"
"333",333,7.83,0.59,"normal"
"334",334,7.92,0.59,"normal"
"335",335,7.89,0.59,"normal"
"336",336,7.84,0.59,"normal"
"337",337,7.87,0.59,"normal"
"338",338,7.9,0.59,"normal"
"339",339,7.7,0.59,"normal"
"340",340,7.72,0.59,"normal"
"341",341,8,0.58,"normal"
"342",342,7.46,0.6,"normal"
"343",343,7.78,0.59,"normal"
"344",344,7.44,0.6,"normal"
"345",345,7.74,0.59,"normal"
"346",346,7.4,0.61,"normal"
"347",347,7.16,0.62,"normal"
"348",348,7.9,0.59,"normal"
"349",349,7.52,0.6,"normal"
"350",350,7.81,0.59,"normal"
"351",351,7.73,0.59,"normal"
"352",352,7.94,0.58,"normal"
"353",353,7.86,0.59,"normal"
"354",354,7.23,0.61,"normal"
"355",355,7.75,0.59,"normal"
"356",356,7.92,0.59,"normal"
"357",357,7.89,0.59,"normal"
"358",358,7.93,0.58,"normal"
"359",359,7.74,0.59,"normal"
"360",360,7.64,0.6,"normal"
"361",361,7.99,0.58,"normal"
"362",362,7.98,0.58,"normal"
"363",363,7.95,0.58,"normal"
"364",364,7.96,0.58,"normal"
"365",365,7.77,0.59,"normal"
"366",366,7,0.62,"normal"
"367",367,7.39,0.61,"normal"
"368",368,7.95,0.58,"normal"
"369",369,7.65,0.6,"normal"
"370",370,7.78,0.59,"normal"
"371",371,7.86,0.59,"normal"
"372",372,7.93,0.58,"normal"
"373",373,7.77,0.59,"normal"
"374",374,7.81,0.59,"normal"
"375",375,7.91,0.59,"normal"
"376",376,7.72,0.59,"normal"
"377",377,7.99,0.58,"normal"
"378",378,7.93,0.58,"normal"
"379",379,7.82,0.59,"normal"
"380",380,7.94,0.58,"normal"
"381",381,7.9,0.59,"normal"
"382",382,7.79,0.59,"normal"
"383",383,7.98,0.58,"normal"
"384",384,7.97,0.58,"normal"
"385",385,7.93,0.58,"normal"
"386",386,6.65,0.64,"anomalia"
"387",387,7.68,0.59,"normal"
"388",388,7.55,0.6,"normal"
"389",389,7.97,0.58,"normal"
"390",390,7.96,0.58,"normal"
"391",391,7.14,0.62,"normal"
"392",392,7.18,0.62,"normal"
"393",393,7.92,0.59,"normal"
"394",394,7.67,0.6,"normal"
"395",395,7.86,0.59,"normal"
"396",396,7.95,0.58,"normal"
"397",397,7.96,0.58,"normal"
"398",398,7.95,0.58,"normal"
"399",399,7.83,0.59,"normal"
"400",400,7.72,0.59,"normal"
"401",401,7.73,0.59,"normal"
"402",402,7.98,0.58,"normal"
"403",403,7.98,0.58,"normal"
"404",404,7.94,0.58,"normal"
"405",405,7.8,0.59,"normal"
"406",406,7.88,0.59,"normal"
"407",407,7.94,0.58,"normal"
"408",408,7.3,0.61,"normal"
"409",409,7.77,0.59,"normal"
"410",410,7.98,0.58,"normal"
"411",411,7.8,0.59,"normal"
"412",412,7.44,0.6,"normal"
"413",413,7.89,0.59,"normal"
"414",414,7.65,0.6,"normal"
"415",415,7.81,0.59,"normal"
"416",416,7.69,0.59,"normal"
"417",417,7.83,0.59,"normal"
"418",418,7.83,0.59,"normal"
"419",419,7.99,0.58,"normal"
"420",420,7.71,0.59,"normal"
"421",421,7.91,0.59,"normal"
"422",422,7.97,0.58,"normal"
"423",423,7.84,0.59,"normal"
"424",424,7.98,0.58,"normal"
"425",425,7.61,0.6,"normal"
"426",426,7.28,0.61,"normal"
"427",427,7.92,0.59,"normal"
"428",428,7.94,0.58,"normal"
"429",429,7.71,0.59,"normal"
"430",430,7.79,0.59,"normal"
"431",431,7.84,0.59,"normal"
"432",432,7.95,0.58,"normal"
"433",433,7.94,0.58,"normal"
"434",434,7.87,0.59,"normal"
"435",435,7.85,0.59,"normal"
"436",436,7.04,0.62,"normal"
"437",437,7.67,0.6,"normal"
"438",438,7.41,0.61,"normal"
"439",439,7.98,0.58,"normal"
"440",440,7.78,0.59,"normal"
"441",441,7.98,0.58,"normal"
"442",442,7.88,0.59,"normal"
"443",443,7.97,0.58,"normal"
"444",444,7.9,0.59,"normal"
"445",445,7.91,0.59,"normal"
"446",446,7.33,0.61,"normal"
"447",447,7.63,0.6,"normal"
"448",448,7.96,0.58,"normal"
"449",449,7.98,0.58,"normal"
"450",450,7.93,0.58,"normal"
"451",451,7.91,0.59,"normal"
"452",452,7.98,0.58,"normal"
"453",453,7.98,0.58,"normal"
"454",454,7.82,0.59,"normal"
"455",455,7.92,0.59,"normal"
"456",456,7.91,0.59,"normal"
"457",457,7.73,0.59,"normal"
"458",458,7.97,0.58,"normal"
"459",459,7.7,0.59,"normal"
"460",460,7.93,0.58,"normal"
"461",461,7.85,0.59,"normal"
"462",462,7.83,0.59,"normal"
"463",463,7.78,0.59,"normal"
"464",464,7.83,0.59,"normal"
"465",465,7.93,0.58,"normal"
"466",466,7.79,0.59,"normal"
"467",467,7.73,0.59,"normal"
"468",468,7.87,0.59,"normal"
"469",469,7.94,0.58,"normal"
"470",470,7.85,0.59,"normal"
"471",471,7.93,0.58,"normal"
"472",472,7.56,0.6,"normal"
"473",473,7.66,0.6,"normal"
"474",474,7.96,0.58,"normal"
"475",475,7.91,0.59,"normal"
"476",476,8,0.58,"normal"
"477",477,7.97,0.58,"normal"
"478",478,7.49,0.6,"normal"
"479",479,7.79,0.59,"normal"
"480",480,7.82,0.59,"normal"
"481",481,7.73,0.59,"normal"
"482",482,7.94,0.58,"normal"
"483",483,7.02,0.62,"normal"
"484",484,7.38,0.61,"normal"
"485",485,7.95,0.58,"normal"
"486",486,7.99,0.58,"normal"
"487",487,7.76,0.59,"normal"
"488",488,7.99,0.58,"normal"
"489",489,7.9,0.59,"normal"
"490",490,7.97,0.58,"normal"
"491",491,7.96,0.58,"normal"
"492",492,8,0.58,"normal"
"493",493,7.84,0.59,"normal"
"494",494,7.95,0.58,"normal"
"495",495,7.63,0.6,"normal"
"496",496,7.96,0.58,"normal"
"497",497,7.87,0.59,"normal"
"498",498,7.91,0.59,"normal"
"499",499,7.79,0.59,"normal"
"500",500,7.74,0.59,"normal"
"501",501,7.76,0.59,"normal"
"502",502,7.99,0.58,"normal"
"503",503,7.89,0.59,"normal"
"504",504,7.95,0.58,"normal"
"505",505,7.85,0.59,"normal"
"506",506,7.7,0.59,"normal"
"507",507,7.83,0.59,"normal"
"508",508,7.76,0.59,"normal"
"509",509,7.96,0.58,"normal"
"510",510,7.15,0.62,"normal"
"511",511,7.97,0.58,"normal"
"512",512,7.85,0.59,"normal"
"513",513,7.94,0.58,"normal"
"514",514,7.55,0.6,"normal"
"515",515,7.77,0.59,"normal"
"516",516,7.94,0.58,"normal"
"517",517,7.86,0.59,"normal"
"518",518,7.95,0.58,"normal"
"519",519,7.85,0.59,"normal"
"520",520,7.63,0.6,"normal"
"521",521,7.73,0.59,"normal"
"522",522,7.84,0.59,"normal"
"523",523,6.7,0.64,"anomalia"
"524",524,7.67,0.6,"normal"
"525",525,7.98,0.58,"normal"
"526",526,7.75,0.59,"normal"
"527",527,7.84,0.59,"normal"
"528",528,7.81,0.59,"normal"
"529",529,7.74,0.59,"normal"
"530",530,7.69,0.59,"normal"
"531",531,7.95,0.58,"normal"
"532",532,7.91,0.59,"normal"
"533",533,8,0.58,"normal"
"534",534,7.76,0.59,"normal"
"535",535,7.98,0.58,"normal"
"536",536,7.64,0.6,"normal"
"537",537,7.93,0.58,"normal"
"538",538,7.99,0.58,"normal"
"539",539,7.94,0.58,"normal"
"540",540,7.91,0.59,"normal"
"541",541,7.95,0.58,"normal"
"542",542,7.92,0.59,"normal"
"543",543,7.2,0.61,"normal"
"544",544,7.35,0.61,"normal"
"545",545,7.97,0.58,"normal"
"546",546,7.64,0.6,"normal"
"547",547,7.82,0.59,"normal"
"548",548,7.75,0.59,"normal"
"549",549,7.95,0.58,"normal"
"550",550,7.88,0.59,"normal"
"551",551,7.97,0.58,"normal"
"552",552,7.74,0.59,"normal"
"553",553,7.26,0.61,"normal"
"554",554,7.91,0.59,"normal"
"555",555,7.97,0.58,"normal"
"556",556,7.61,0.6,"normal"
"557",557,7.76,0.59,"normal"
"558",558,7.96,0.58,"normal"
"559",559,7.92,0.59,"normal"
"560",560,7.98,0.58,"normal"
"561",561,7.6,0.6,"normal"
"562",562,7.91,0.59,"normal"
"563",563,7.19,0.61,"normal"
"564",564,7.57,0.6,"normal"
"565",565,7.99,0.58,"normal"
"566",566,7.91,0.59,"normal"
"567",567,7.54,0.6,"normal"
"568",568,7.61,0.6,"normal"
"569",569,7.23,0.61,"normal"
"570",570,7.66,0.6,"normal"
"571",571,7.81,0.59,"normal"
"572",572,7.83,0.59,"normal"
"573",573,7.98,0.58,"normal"
"574",574,8,0.58,"normal"
"575",575,7.92,0.59,"normal"
"576",576,7.59,0.6,"normal"
"577",577,7.78,0.59,"normal"
"578",578,7.96,0.58,"normal"
"579",579,7.71,0.59,"normal"
"580",580,7.72,0.59,"normal"
"581",581,7.96,0.58,"normal"
"582",582,7.97,0.58,"normal"
"583",583,7.93,0.58,"normal"
"584",584,7.91,0.59,"normal"
"585",585,7.4,0.61,"normal"
"586",586,8,0.58,"normal"
"587",587,8,0.58,"normal"
"588",588,7.96,0.58,"normal"
"589",589,7.26,0.61,"normal"
"590",590,7.85,0.59,"normal"
"591",591,7.86,0.59,"normal"
"592",592,7.78,0.59,"normal"
"593",593,7.91,0.59,"normal"
"594",594,7.98,0.58,"normal"
"595",595,7.91,0.59,"normal"
"596",596,7.96,0.58,"normal"
"597",597,7.98,0.58,"normal"
"598",598,7.83,0.59,"normal"
"599",599,7.96,0.58,"normal"
"600",600,7.83,0.59,"normal"
"601",601,8,0.58,"normal"
"602",602,7.7,0.59,"normal"
"603",603,7.66,0.6,"normal"
"604",604,7.96,0.58,"normal"
"605",605,7.77,0.59,"normal"
"606",606,7.96,0.58,"normal"
"607",607,7.98,0.58,"normal"
"608",608,7.91,0.59,"normal"
"609",609,7.98,0.58,"normal"
"610",610,7.97,0.58,"normal"
"611",611,7.96,0.58,"normal"
"612",612,7.94,0.58,"normal"
"613",613,7.99,0.58,"normal"
"614",614,7.92,0.59,"normal"
"615",615,7.72,0.59,"normal"
"616",616,7.95,0.58,"normal"
"617",617,7.35,0.61,"normal"
"618",618,7.98,0.58,"normal"
"619",619,7.93,0.58,"normal"
"620",620,7.81,0.59,"normal"
"621",621,7.19,0.61,"normal"
"622",622,8,0.58,"normal"
"623",623,7.91,0.59,"normal"
"624",624,7.93,0.58,"normal"
"625",625,7.94,0.58,"normal"
"626",626,7.96,0.58,"normal"
"627",627,7.73,0.59,"normal"
"628",628,7.98,0.58,"normal"
"629",629,7.81,0.59,"normal"
"630",630,7.4,0.61,"normal"
"631",631,7.95,0.58,"normal"
"632",632,7.96,0.58,"normal"
"633",633,7.81,0.59,"normal"
"634",634,6.98,0.62,"normal"
"635",635,7.93,0.58,"normal"
"636",636,7.29,0.61,"normal"
"637",637,7.77,0.59,"normal"
"638",638,8,0.58,"normal"
"639",639,7.79,0.59,"normal"
"640",640,7.83,0.59,"normal"
"641",641,7.45,0.6,"normal"
"642",642,7.91,0.59,"normal"
"643",643,7.66,0.6,"normal"
"644",644,7.98,0.58,"normal"
"645",645,7.86,0.59,"normal"
"646",646,7.78,0.59,"normal"
"647",647,7.98,0.58,"normal"
"648",648,7.96,0.58,"normal"
"649",649,7.97,0.58,"normal"
"650",650,7.94,0.58,"normal"
"651",651,7.9,0.59,"normal"
"652",652,7.67,0.6,"normal"
"653",653,7.79,0.59,"normal"
"654",654,7.84,0.59,"normal"
"655",655,7.95,0.58,"normal"
"656",656,7.71,0.59,"normal"
"657",657,7.84,0.59,"normal"
"658",658,7.62,0.6,"normal"
"659",659,7.81,0.59,"normal"
"660",660,7.93,0.58,"normal"
"661",661,7.78,0.59,"normal"
"662",662,7.91,0.59,"normal"
"663",663,7.97,0.58,"normal"
"664",664,7.97,0.58,"normal"
"665",665,7.98,0.58,"normal"
"666",666,7.81,0.59,"normal"
"667",667,7.95,0.58,"normal"
"668",668,7.97,0.58,"normal"
"669",669,7.97,0.58,"normal"
"670",670,7.86,0.59,"normal"
"671",671,7.73,0.59,"normal"
"672",672,7.94,0.58,"normal"
"673",673,7.85,0.59,"normal"
"674",674,7.98,0.58,"normal"
"675",675,7.83,0.59,"normal"
"676",676,7.86,0.59,"normal"
"677",677,7.93,0.58,"normal"
"678",678,7.46,0.6,"normal"
"679",679,7.37,0.61,"normal"
"680",680,7.98,0.58,"normal"
"681",681,7.89,0.59,"normal"
"682",682,7.95,0.58,"normal"
"683",683,7.62,0.6,"normal"
"684",684,7.85,0.59,"normal"
"685",685,7.95,0.58,"normal"
"686",686,7.9,0.59,"normal"
"687",687,8,0.58,"normal"
"688",688,7.85,0.59,"normal"
"689",689,7.95,0.58,"normal"
"690",690,7.86,0.59,"normal"
"691",691,7.97,0.58,"normal"
"692",692,7.98,0.58,"normal"
"693",693,7.78,0.59,"normal"
"694",694,7.95,0.58,"normal"
"695",695,7.95,0.58,"normal"
"696",696,7.99,0.58,"normal"
"697",697,7.93,0.58,"normal"
"698",698,7.96,0.58,"normal"
"699",699,7.73,0.59,"normal"
"700",700,7.73,0.59,"normal"
"701",701,7.97,0.58,"normal"
"702",702,7.92,0.59,"normal"
"703",703,7.79,0.59,"normal"
"704",704,7.82,0.59,"normal"
"705",705,7.88,0.59,"normal"
"706",706,7.97,0.58,"normal"
"707",707,7.65,0.6,"normal"
"708",708,7.97,0.58,"normal"
"709",709,8,0.58,"normal"
"710",710,7.91,0.59,"normal"
"711",711,7.26,0.61,"normal"
"712",712,7.91,0.59,"normal"
"713",713,7.65,0.6,"normal"
"714",714,7.89,0.59,"normal"
"715",715,7.81,0.59,"normal"
"716",716,7.77,0.59,"normal"
"717",717,7.91,0.59,"normal"
"718",718,7.92,0.59,"normal"
"719",719,7.93,0.58,"normal"
"720",720,7.91,0.59,"normal"
"721",721,7.86,0.59,"normal"
"722",722,7.97,0.58,"normal"
"723",723,7.76,0.59,"normal"
"724",724,7.91,0.59,"normal"
"725",725,7.94,0.58,"normal"
"726",726,7.95,0.58,"normal"
"727",727,7.95,0.58,"normal"
"728",728,7.93,0.58,"normal"
"729",729,7.83,0.59,"normal"
"730",730,7.9,0.59,"normal"
"731",731,7.56,0.6,"normal"
"732",732,7.63,0.6,"normal"
"733",733,8,0.58,"normal"
"734",734,7.15,0.62,"normal"
"735",735,7.96,0.58,"normal"
"736",736,7.93,0.58,"normal"
"737",737,7.97,0.58,"normal"
"738",738,8,0.58,"normal"
"739",739,7.95,0.58,"normal"
"740",740,7.98,0.58,"normal"
"741",741,7.67,0.6,"normal"
"742",742,7.83,0.59,"normal"
"743",743,7.81,0.59,"normal"
"744",744,7.95,0.58,"normal"
"745",745,7.96,0.58,"normal"
"746",746,7.94,0.58,"normal"
"747",747,7.87,0.59,"normal"
"748",748,7.97,0.58,"normal"
"749",749,7.96,0.58,"normal"
"750",750,7.96,0.58,"normal"
"751",751,7.02,0.62,"normal"
"752",752,7.89,0.59,"normal"
"753",753,7.89,0.59,"normal"
"754",754,7.67,0.6,"normal"
"755",755,7.86,0.59,"normal"
"756",756,7.6,0.6,"normal"
"757",757,7.66,0.6,"normal"
"758",758,7.99,0.58,"normal"
"759",759,7.95,0.58,"normal"
"760",760,7.96,0.58,"normal"
"761",761,7.79,0.59,"normal"
"762",762,6.87,0.63,"anomalia"
"763",763,7.95,0.58,"normal"
"764",764,7.99,0.58,"normal"
"765",765,7.85,0.59,"normal"
"766",766,7.89,0.59,"normal"
"767",767,7.59,0.6,"normal"
"768",768,7.97,0.58,"normal"
"769",769,7.7,0.59,"normal"
"770",770,8,0.58,"normal"
"771",771,7.88,0.59,"normal"
"772",772,7.83,0.59,"normal"
"773",773,7.95,0.58,"normal"
"774",774,7.93,0.58,"normal"
"775",775,7.82,0.59,"normal"
"776",776,7.88,0.59,"normal"
"777",777,7.47,0.6,"normal"
