id,idade,renda_anual,pontuacao_gastos,cluster
288,42,33116,24,1
289,67,45470,16,1
290,40,62344,96,1
291,48,62918,65,1
292,47,72224,77,1
293,59,59298,52,1
294,52,128492,50,0
295,24,100219,38,2
296,33,81629,50,2
297,43,86040,69,1
298,65,119518,5,0
299,69,119835,66,0
300,66,48016,6,1
301,19,43960,50,2
302,18,53591,71,2
303,65,102848,41,0
304,29,123333,63,2
305,22,131732,14,2
306,54,134821,28,0
307,49,87641,32,0
308,26,56395,93,2
309,58,131276,26,0
310,52,149695,35,0
311,36,42700,28,2
312,65,54620,37,1
313,33,123214,56,2
314,20,148148,96,2
315,37,40559,100,1
316,41,113045,26,0
317,50,113396,54,0
318,41,81642,32,2
319,69,96539,67,0
320,28,41732,85,2
321,66,148675,65,0
322,25,111362,9,2
323,53,50354,4,1
324,55,33843,73,1
325,57,130008,96,0
326,37,134065,37,0
327,52,91726,12,0
328,65,37640,30,1
329,42,72528,46,1
330,52,58413,99,1
331,42,148142,87,0
332,46,72638,51,1
333,35,72736,55,2
334,63,127892,14,0
335,35,130133,28,0
336,19,126357,7,2
337,52,88866,4,0
338,33,39087,28,2
339,58,61430,46,1
340,53,44504,67,1
341,50,27114,75,1
342,21,98859,44,2
343,50,119657,1,0
344,31,30975,26,2
345,38,31023,94,1
346,65,41447,35,1
347,37,110469,35,2
348,25,145899,25,2
349,24,43959,42,2
350,20,86203,26,2
351,34,139156,68,0
352,50,49703,19,1
353,65,29337,10,1
354,29,66427,73,2
355,68,141507,37,0
356,39,81529,5,2
357,39,122023,71,0
358,63,104665,22,0
359,47,125787,46,0
360,55,51921,89,1
361,55,53307,45,1
362,62,47355,11,1
363,68,123268,89,0
364,25,147016,12,2
365,44,24835,61,1
366,44,40159,81,1
367,51,124346,88,0
368,38,67605,96,1
369,47,141790,59,0
370,50,125616,42,0
371,45,58088,75,1
372,64,98752,99,0
373,50,75284,67,1
374,22,77043,4,2
375,65,145388,36,0
376,36,55547,71,1
377,21,117007,91,2
378,52,102844,30,0
379,66,47532,8,1
380,34,54349,50,2
381,61,142402,28,0
382,45,138012,77,0
383,47,65445,39,1
384,46,25713,40,1
385,63,76178,85,1
386,70,69407,10,1
387,23,90340,22,2
388,52,70990,0,1
389,58,95672,45,0
390,54,149473,100,0
391,41,85545,20,2
392,46,104791,89,0
393,66,78141,35,1
394,63,43793,53,1
395,70,76570,86,1
396,48,115084,56,0
397,52,57892,0,1
398,50,21015,62,1
399,69,144704,53,0
400,38,81813,54,2
401,49,47712,39,1
402,40,120497,14,0
403,50,28415,20,1
404,20,131854,46,2
405,35,132816,72,0
406,42,148778,52,0
407,59,82292,8,0
408,48,43833,73,1
409,20,24158,51,2
410,57,82680,56,1
411,63,40309,25,1
412,41,26970,40,1
413,67,92474,34,0
414,49,106704,62,0
415,64,66540,24,1
416,39,40384,89,1
417,40,38017,74,1
418,19,95880,37,2
419,44,125570,1,0
420,59,28702,6,1
421,19,20384,81,2
422,43,20404,90,1
423,34,60943,33,2
424,57,67926,90,1
425,50,49189,16,1
426,26,32763,42,2
427,60,38384,58,1
428,65,80100,50,1
429,56,118142,53,0
430,46,29860,23,1
431,59,124293,24,0
432,43,100642,70,0
433,52,70612,51,1
434,67,43574,69,1
435,42,43524,87,1
436,41,89172,32,2
437,30,30916,48,2
438,24,24809,28,2
439,53,52201,62,1
440,62,73330,21,1
441,37,33456,25,1
442,18,133748,27,2
443,25,76397,84,2
444,63,141288,48,0
445,33,58765,70,2
446,31,54816,80,2
447,29,65106,83,2
448,68,73932,48,1
449,40,37100,19,1
450,32,77091,85,2
451,45,41949,91,1
452,51,90080,62,0
453,19,57744,60,2
454,49,65543,48,1
455,40,128319,70,0
456,39,112193,0,2
457,68,56187,95,1
458,42,132734,12,0
459,39,27239,93,1
460,39,144454,86,0
461,66,34489,50,1
462,69,134937,55,0
463,59,78017,82,1
464,23,81877,61,2
465,32,63125,31,2
466,60,69922,29,1
467,54,114074,28,0
468,50,52049,48,1
469,25,57131,44,2
470,70,62944,92,1
471,61,135765,29,0
472,61,93963,15,0
473,22,126884,39,2
474,56,145917,18,0
475,21,44285,17,2
476,23,57626,0,2
477,62,62808,77,1
478,49,108464,46,0
479,69,73871,65,1
480,47,39198,91,1
481,64,39758,93,1
482,52,35254,37,1
483,57,64238,50,1
484,69,21252,62,1
485,33,59764,3,2
486,30,97709,0,2
487,67,57441,7,1
488,59,112234,28,0
489,47,73682,54,1
490,36,79494,2,2
491,34,101317,31,2
492,36,85215,9,2
493,45,98587,73,0
494,43,125185,82,0
495,54,26949,33,1
496,43,127825,96,0
497,70,75393,86,1
498,40,93553,54,2
499,26,26941,91,2
500,29,45934,31,2
