id,idade,renda_anual,pontuacao_gastos
354,29,66427,73
355,68,141507,37
356,39,81529,5
357,39,122023,71
358,63,104665,22
359,47,125787,46
360,55,51921,89
361,55,53307,45
362,62,47355,11
363,68,123268,89
364,25,147016,12
365,44,24835,61
366,44,40159,81
367,51,124346,88
368,38,67605,96
369,47,141790,59
370,50,125616,42
371,45,58088,75
372,64,98752,99
373,50,75284,67
374,22,77043,4
375,65,145388,36
376,36,55547,71
377,21,117007,91
378,52,102844,30
379,66,47532,8
380,34,54349,50
381,61,142402,28
382,45,138012,77
383,47,65445,39
384,46,25713,40
385,63,76178,85
386,70,69407,10
387,23,90340,22
388,52,70990,0
389,58,95672,45
390,54,149473,100
391,41,85545,20
392,46,104791,89
393,66,78141,35
394,63,43793,53
395,70,76570,86
396,48,115084,56
397,52,57892,0
398,50,21015,62
399,69,144704,53
400,38,81813,54
401,49,47712,39
402,40,120497,14
403,50,28415,20
404,20,131854,46
405,35,132816,72
406,42,148778,52
407,59,82292,8
408,48,43833,73
409,20,24158,51
410,57,82680,56
411,63,40309,25
412,41,26970,40
413,67,92474,34
414,49,106704,62
415,64,66540,24
416,39,40384,89
417,40,38017,74
418,19,95880,37
419,44,125570,1
420,59,28702,6
421,19,20384,81
422,43,20404,90
423,34,60943,33
424,57,67926,90
425,50,49189,16
426,26,32763,42
427,60,38384,58
428,65,80100,50
429,56,118142,53
430,46,29860,23
431,59,124293,24
432,43,100642,70
433,52,70612,51
434,67,43574,69
435,42,43524,87
436,41,89172,32
437,30,30916,48
438,24,24809,28
439,53,52201,62
440,62,73330,21
441,37,33456,25
442,18,133748,27
443,25,76397,84
444,63,141288,48
445,33,58765,70
446,31,54816,80
447,29,65106,83
448,68,73932,48
449,40,37100,19
450,32,77091,85
451,45,41949,91
452,51,90080,62
453,19,57744,60
454,49,65543,48
455,40,128319,70
456,39,112193,0
457,68,56187,95
458,42,132734,12
459,39,27239,93
460,39,144454,86
461,66,34489,50
462,69,134937,55
463,59,78017,82
464,23,81877,61
465,32,63125,31
466,60,69922,29
467,54,114074,28
468,50,52049,48
469,25,57131,44
470,70,62944,92
471,61,135765,29
472,61,93963,15
473,22,126884,39
474,56,145917,18
475,21,44285,17
476,23,57626,0
477,62,62808,77
478,49,108464,46
479,69,73871,65
480,47,39198,91
481,64,39758,93
482,52,35254,37
483,57,64238,50
484,69,21252,62
485,33,59764,3
486,30,97709,0
487,67,57441,7
488,59,112234,28
489,47,73682,54
490,36,79494,2
491,34,101317,31
492,36,85215,9
493,45,98587,73
494,43,125185,82
495,54,26949,33
496,43,127825,96
497,70,75393,86
498,40,93553,54
499,26,26941,91
500,29,45934,31
