ID Pedido;Data Pedido;Data Envio;Modo Envio;Prioridade Pedido
IN-2012-66342;30-05-2012;31-05-2012;Primeira Classe;Critico
CA-2012-111829;19-03-2012;20-03-2012;Primeira Classe;Alto
IN-2012-48240;25-05-2012;28-05-2012;Segunda Classe;Critico
IN-2014-61792;05-08-2014;06-08-2014;Primeira Classe;Alto
CA-2014-129021;24-08-2014;27-08-2014;Segunda Classe;Medio
IN-2014-75470;11-03-2014;13-03-2014;Segunda Classe;Alto
CA-2012-114811;08-11-2012;08-11-2012;Mesmo Dia;Medio
ES-2014-4673578;11-08-2014;16-08-2014;Segunda Classe;Medio
IT-2013-3376681;31-08-2013;03-09-2013;Primeira Classe;Critico
IN-2014-66615;18-01-2014;23-01-2014;Classe Padrao;Alto
CA-2013-143805;02-12-2013;04-12-2013;Segunda Classe;Critico
IT-2014-4540740;07-12-2014;08-12-2014;Primeira Classe;Alto
IN-2014-11231;16-12-2014;19-12-2014;Primeira Classe;Critico
MX-2014-154907;20-11-2014;20-11-2014;Mesmo Dia;Critico
UP-2011-8610;09-11-2011;11-11-2011;Primeira Classe;Critico
IN-2013-40050;07-06-2013;09-06-2013;Primeira Classe;Alto
MX-2011-110275;22-11-2011;23-11-2011;Primeira Classe;Medio
CG-2013-6110;29-03-2013;31-03-2013;Segunda Classe;Alto
IN-2014-30110;26-08-2014;27-08-2014;Primeira Classe;Alto
ES-2012-2058076;20-09-2012;22-09-2012;Segunda Classe;Alto
IN-2014-51950;16-05-2014;18-05-2014;Segunda Classe;Critico
CA-2012-145352;16-03-2012;22-03-2012;Classe Padrao;Medio
ES-2013-4670866;24-11-2013;25-11-2013;Primeira Classe;Critico
IN-2011-62506;09-11-2011;11-11-2011;Segunda Classe;Medio
IN-2011-46413;28-10-2011;28-10-2011;Mesmo Dia;Critico
ES-2014-3785216;19-11-2014;23-11-2014;Classe Padrao;Alto
MO-2014-2000;28-10-2014;30-10-2014;Segunda Classe;Medio
CA-2014-138289;17-01-2014;19-01-2014;Segunda Classe;Alto
CA-2014-118892;18-08-2014;23-08-2014;Segunda Classe;Medio
ES-2013-1434123;29-01-2013;05-02-2013;Classe Padrao;Baixo
ID-2012-78207;18-09-2012;21-09-2012;Segunda Classe;Critico
MO-2013-8630;23-11-2013;23-11-2013;Mesmo Dia;Medio
IN-2012-64774;13-06-2012;13-06-2012;Mesmo Dia;Alto
IN-2013-48765;28-10-2013;31-10-2013;Primeira Classe;Medio
IN-2013-69730;12-12-2013;14-12-2013;Primeira Classe;Alto
US-2013-102239;06-05-2013;07-05-2013;Primeira Classe;Critico
ES-2013-3467296;02-12-2013;02-12-2013;Mesmo Dia;Critico
CA-2014-6550;23-12-2014;25-12-2014;Segunda Classe;Critico
ID-2013-25742;28-01-2013;30-01-2013;Primeira Classe;Alto
IN-2012-86698;07-05-2012;07-05-2012;Mesmo Dia;Alto
ES-2013-2903666;27-11-2013;29-11-2013;Primeira Classe;Alto
IN-2012-30446;28-11-2012;02-12-2012;Segunda Classe;Medio
IT-2012-1779015;29-09-2012;29-09-2012;Mesmo Dia;Critico
ES-2013-3903130;03-09-2013;05-09-2013;Segunda Classe;Alto
CG-2013-3470;26-07-2013;01-08-2013;Classe Padrao;Baixo
IN-2014-13639;19-11-2014;25-11-2014;Classe Padrao;Baixo
ES-2012-2510515;19-06-2012;19-06-2012;Mesmo Dia;Alto
MX-2012-153157;11-10-2012;14-10-2012;Primeira Classe;Medio
ES-2011-2585328;09-08-2011;11-08-2011;Primeira Classe;Critico
ES-2011-4500805;05-11-2011;09-11-2011;Segunda Classe;Alto
CA-2014-107174;07-11-2014;14-11-2014;Classe Padrao;Baixo
MX-2013-113824;26-04-2013;28-04-2013;Primeira Classe;Alto
IN-2013-45076;26-12-2013;26-12-2013;Mesmo Dia;Alto
IT-2013-5208514;13-03-2013;13-03-2013;Mesmo Dia;Alto
US-2013-107440;17-04-2013;21-04-2013;Classe Padrao;Medio
ES-2012-2314672;05-04-2012;05-04-2012;Mesmo Dia;Alto
ES-2012-4765389;26-12-2012;28-12-2012;Segunda Classe;Critico
IN-2013-15368;18-04-2013;19-04-2013;Primeira Classe;Critico
IN-2011-18385;24-05-2011;26-05-2011;Segunda Classe;Alto
CA-2012-149846;22-05-2012;26-05-2012;Classe Padrao;Alto
ES-2013-2757712;16-05-2013;20-05-2013;Segunda Classe;Alto
CA-2011-106726;06-12-2011;08-12-2011;Primeira Classe;Critico
IT-2011-1978668;16-02-2011;19-02-2011;Segunda Classe;Medio
IN-2013-63773;31-05-2013;02-06-2013;Primeira Classe;Critico
IN-2013-10965;01-10-2013;02-10-2013;Primeira Classe;Alto
CA-2011-145541;14-12-2011;21-12-2011;Classe Padrao;Medio
CA-2013-117121;18-12-2013;22-12-2013;Classe Padrao;Medio
ID-2013-79432;11-12-2013;14-12-2013;Segunda Classe;Critico
IT-2014-4499061;18-03-2014;21-03-2014;Segunda Classe;Critico
IN-2014-34226;19-12-2014;20-12-2014;Primeira Classe;Critico
CA-2011-136567;20-12-2011;21-12-2011;Primeira Classe;Alto
CA-2013-143714;24-05-2013;28-05-2013;Classe Padrao;Medio
CA-2011-151330;14-10-2011;17-10-2011;Primeira Classe;Critico
MX-2014-158386;18-09-2014;18-09-2014;Mesmo Dia;Critico
IN-2013-30663;25-11-2013;27-11-2013;Primeira Classe;Critico
IN-2013-77444;07-11-2013;10-11-2013;Primeira Classe;Critico
IN-2014-39077;19-07-2014;23-07-2014;Classe Padrao;Alto
ID-2012-60980;16-08-2012;16-08-2012;Mesmo Dia;Alto
CA-2013-128594;27-08-2013;30-08-2013;Primeira Classe;Critico
IN-2012-57025;11-01-2012;15-01-2012;Classe Padrao;Alto
MX-2013-157868;28-01-2013;30-01-2013;Primeira Classe;Medio
ID-2012-66111;14-06-2012;17-06-2012;Primeira Classe;Critico
CA-2011-120474;01-12-2011;03-12-2011;Primeira Classe;Alto
CA-2013-100300;25-06-2013;27-06-2013;Segunda Classe;Alto
MX-2012-164791;06-12-2012;08-12-2012;Primeira Classe;Alto
IT-2013-1350483;05-09-2013;07-09-2013;Segunda Classe;Alto
SO-2014-4990;18-09-2014;20-09-2014;Primeira Classe;Alto
CA-2014-149559;12-09-2014;13-09-2014;Mesmo Dia;Critico
IN-2012-30943;03-08-2012;08-08-2012;Classe Padrao;Alto
IN-2014-13324;09-12-2014;11-12-2014;Primeira Classe;Alto
IN-2012-46889;25-10-2012;28-10-2012;Primeira Classe;Critico
CA-2012-114069;13-07-2012;15-07-2012;Segunda Classe;Critico
ID-2013-35640;27-08-2013;29-08-2013;Segunda Classe;Alto
IN-2011-30292;13-05-2011;17-05-2011;Classe Padrao;Alto
IT-2011-3675195;03-11-2011;06-11-2011;Primeira Classe;Alto
ES-2014-2034971;02-08-2014;03-08-2014;Primeira Classe;Critico
ES-2011-1426891;20-09-2011;22-09-2011;Segunda Classe;Critico
CA-2014-159366;08-01-2014;11-01-2014;Primeira Classe;Medio
IN-2013-14773;11-03-2013;15-03-2013;Classe Padrao;Alto
ES-2012-4934238;02-02-2012;05-02-2012;Primeira Classe;Alto
CA-2013-108987;09-09-2013;11-09-2013;Segunda Classe;Critico
MX-2014-111941;09-04-2014;13-04-2014;Classe Padrao;Alto
US-2013-143819;02-03-2013;06-03-2013;Classe Padrao;Medio
MX-2014-152961;19-03-2014;21-03-2014;Primeira Classe;Alto
IN-2013-17041;02-10-2013;04-10-2013;Primeira Classe;Alto
ES-2013-4679331;12-01-2013;15-01-2013;Primeira Classe;Medio
SA-2014-1270;20-08-2014;25-08-2014;Classe Padrao;Medio
IN-2014-12897;14-03-2014;18-03-2014;Classe Padrao;Alto
CA-2013-134887;26-03-2013;26-03-2013;Mesmo Dia;Critico
ID-2014-10076;09-07-2014;13-07-2014;Classe Padrao;Alto
ID-2013-70122;11-06-2013;15-06-2013;Classe Padrao;Alto
ES-2011-2257437;10-08-2011;17-08-2011;Classe Padrao;Medio
ID-2014-63920;17-03-2014;21-03-2014;Classe Padrao;Alto
ID-2013-29564;02-01-2013;03-01-2013;Primeira Classe;Medio
CA-2013-108196;26-11-2013;03-12-2013;Classe Padrao;Baixo
ID-2012-36403;10-10-2012;11-10-2012;Primeira Classe;Alto
CA-2014-127180;23-10-2014;25-10-2014;Primeira Classe;Alto
IN-2011-19351;17-06-2011;19-06-2011;Primeira Classe;Alto
ES-2014-5842530;03-04-2014;05-04-2014;Primeira Classe;Alto
MX-2011-137897;17-05-2011;20-05-2011;Segunda Classe;Alto
BO-2014-8960;11-02-2014;15-02-2014;Segunda Classe;Alto
ES-2013-2220066;12-10-2013;12-10-2013;Mesmo Dia;Critico
CA-2011-127299;19-09-2011;24-09-2011;Classe Padrao;Alto
UP-2014-4500;17-07-2014;19-07-2014;Segunda Classe;Critico
ES-2014-2440513;22-11-2014;28-11-2014;Classe Padrao;Baixo
IT-2011-5629016;30-05-2011;02-06-2011;Primeira Classe;Critico
CA-2014-133263;01-04-2014;03-04-2014;Segunda Classe;Alto
IN-2014-65488;17-07-2014;20-07-2014;Primeira Classe;Medio
ES-2014-5530354;29-08-2014;03-09-2014;Classe Padrao;Medio
IN-2012-23782;26-12-2012;26-12-2012;Mesmo Dia;Critico
ID-2013-31720;01-05-2013;04-05-2013;Segunda Classe;Critico
ES-2011-1712442;16-08-2011;21-08-2011;Classe Padrao;Medio
IN-2014-78900;03-12-2014;07-12-2014;Classe Padrao;Alto
IN-2013-37803;25-06-2013;29-06-2013;Classe Padrao;Alto
ES-2013-3939561;21-01-2013;24-01-2013;Segunda Classe;Medio
CA-2013-138478;22-10-2013;27-10-2013;Segunda Classe;Medio
IN-2014-56808;12-07-2014;14-07-2014;Segunda Classe;Critico
US-2013-116729;26-12-2013;29-12-2013;Primeira Classe;Medio
ES-2014-1972860;01-09-2014;01-09-2014;Mesmo Dia;Critico
CA-2011-119375;17-11-2011;22-11-2011;Classe Padrao;Alto
IN-2011-64326;07-06-2011;11-06-2011;Segunda Classe;Medio
ES-2011-3259196;13-10-2011;13-10-2011;Mesmo Dia;Critico
IN-2013-48184;10-06-2013;10-06-2013;Mesmo Dia;Critico
IN-2014-77017;13-12-2014;17-12-2014;Classe Padrao;Medio
CA-2014-150091;13-10-2014;17-10-2014;Classe Padrao;Alto
ID-2014-31363;10-06-2014;11-06-2014;Primeira Classe;Alto
SF-2011-6380;15-02-2011;16-02-2011;Primeira Classe;Critico
ES-2013-1692384;28-11-2013;04-12-2013;Classe Padrao;Baixo
CA-2014-165323;18-06-2014;22-06-2014;Classe Padrao;Alto
CA-2013-168354;20-09-2013;22-09-2013;Primeira Classe;Alto
US-2011-158554;09-08-2011;09-08-2011;Mesmo Dia;Alto
CA-2011-141796;21-06-2011;21-06-2011;Mesmo Dia;Critico
IN-2012-12162;02-08-2012;04-08-2012;Primeira Classe;Alto
CA-2012-113404;16-07-2012;16-07-2012;Mesmo Dia;Critico
IR-2013-8520;02-08-2013;02-08-2013;Mesmo Dia;Critico
IN-2014-68463;22-05-2014;25-05-2014;Segunda Classe;Critico
ID-2011-64599;10-02-2011;15-02-2011;Classe Padrao;Medio
ES-2013-4632541;27-09-2013;27-09-2013;Mesmo Dia;Critico
IN-2014-23761;02-06-2014;04-06-2014;Primeira Classe;Critico
IN-2013-16964;30-09-2013;03-10-2013;Primeira Classe;Critico
IN-2011-76989;19-07-2011;20-07-2011;Primeira Classe;Alto
RS-2014-4620;14-08-2014;16-08-2014;Segunda Classe;Medio
CA-2013-147417;26-07-2013;28-07-2013;Primeira Classe;Critico
IN-2014-61393;31-10-2014;03-11-2014;Primeira Classe;Alto
IN-2013-13891;25-07-2013;30-07-2013;Classe Padrao;Medio
IN-2014-32770;07-10-2014;11-10-2014;Classe Padrao;Alto
IN-2014-14780;17-10-2014;21-10-2014;Classe Padrao;Alto
IN-2013-71585;03-12-2013;06-12-2013;Segunda Classe;Critico
IN-2014-20485;08-11-2014;10-11-2014;Primeira Classe;Alto
IT-2011-4771701;21-09-2011;23-09-2011;Segunda Classe;Critico
IT-2011-2876489;21-06-2011;24-06-2011;Primeira Classe;Alto
CA-2014-133865;09-05-2014;13-05-2014;Classe Padrao;Alto
CA-2014-158379;23-09-2014;27-09-2014;Segunda Classe;Medio
SF-2014-2330;26-11-2014;29-11-2014;Segunda Classe;Critico
EG-2012-4640;30-03-2012;01-04-2012;Primeira Classe;Critico
MX-2011-138002;10-11-2011;15-11-2011;Segunda Classe;Medio
US-2014-102183;22-08-2014;29-08-2014;Classe Padrao;Medio
ES-2012-5113958;01-08-2012;06-08-2012;Segunda Classe;Medio
CA-2014-120376;23-12-2014;26-12-2014;Primeira Classe;Alto
CA-2014-168109;04-07-2014;04-07-2014;Mesmo Dia;Alto
CA-2014-111556;21-11-2014;23-11-2014;Primeira Classe;Critico
AJ-2013-2640;23-01-2013;27-01-2013;Classe Padrao;Alto
IN-2011-67651;21-05-2011;25-05-2011;Segunda Classe;Alto
ES-2014-4957212;28-09-2014;01-10-2014;Primeira Classe;Alto
IT-2011-3528798;06-11-2011;08-11-2011;Primeira Classe;Critico
LH-2014-5390;28-01-2014;30-01-2014;Segunda Classe;Alto
IN-2014-32588;13-09-2014;19-09-2014;Classe Padrao;Medio
CA-2012-137113;01-12-2012;05-12-2012;Segunda Classe;Alto
US-2011-161760;22-12-2011;24-12-2011;Primeira Classe;Alto
EG-2013-4530;05-02-2013;07-02-2013;Segunda Classe;Critico
IN-2011-51964;28-12-2011;29-12-2011;Primeira Classe;Critico
CA-2013-122903;28-05-2013;30-05-2013;Segunda Classe;Alto
LT-2011-270;27-04-2011;30-04-2011;Primeira Classe;Alto
IN-2011-86278;06-10-2011;11-10-2011;Classe Padrao;Alto
ID-2013-17055;24-08-2013;26-08-2013;Segunda Classe;Critico
MX-2013-151764;21-09-2013;24-09-2013;Segunda Classe;Critico
MX-2014-124744;17-12-2014;19-12-2014;Primeira Classe;Critico
US-2011-106992;19-09-2011;21-09-2011;Segunda Classe;Medio
CA-2011-117639;21-05-2011;25-05-2011;Classe Padrao;Alto
MX-2014-140305;03-06-2014;07-06-2014;Classe Padrao;Alto
MX-2014-113845;12-09-2014;14-09-2014;Primeira Classe;Critico
IN-2014-61932;17-04-2014;17-04-2014;Mesmo Dia;Critico
ES-2012-4589770;21-11-2012;24-11-2012;Segunda Classe;Critico
ES-2014-1331794;06-03-2014;08-03-2014;Primeira Classe;Critico
ES-2012-4621754;23-07-2012;28-07-2012;Classe Padrao;Alto
ID-2014-41191;07-11-2014;09-11-2014;Primeira Classe;Alto
MX-2014-128405;22-11-2014;24-11-2014;Primeira Classe;Critico
ES-2011-1858721;11-06-2011;14-06-2011;Primeira Classe;Alto
MX-2012-168865;14-09-2012;19-09-2012;Classe Padrao;Alto
IN-2011-52279;25-11-2011;25-11-2011;Mesmo Dia;Critico
IN-2012-14724;10-08-2012;12-08-2012;Primeira Classe;Alto
ES-2013-3042991;20-03-2013;23-03-2013;Segunda Classe;Alto
LT-2013-3900;30-12-2013;04-01-2014;Classe Padrao;Medio
IN-2012-18518;04-10-2012;09-10-2012;Classe Padrao;Alto
IT-2012-4058325;06-08-2012;07-08-2012;Primeira Classe;Critico
IN-2012-42220;02-10-2012;02-10-2012;Mesmo Dia;Alto
IN-2014-17972;26-03-2014;29-03-2014;Primeira Classe;Critico
MX-2014-151554;21-11-2014;21-11-2014;Mesmo Dia;Alto
IT-2011-3270900;30-11-2011;01-12-2011;Primeira Classe;Critico
CA-2012-123113;23-11-2012;27-11-2012;Segunda Classe;Medio
RO-2012-9480;06-12-2012;06-12-2012;Mesmo Dia;Alto
MX-2013-109981;03-12-2013;04-12-2013;Primeira Classe;Alto
MX-2012-130351;20-12-2012;24-12-2012;Classe Padrao;Alto
MX-2012-135076;13-09-2012;15-09-2012;Segunda Classe;Medio
CA-2013-114972;04-11-2013;07-11-2013;Primeira Classe;Critico
CA-2013-146633;16-11-2013;18-11-2013;Segunda Classe;Critico
CA-2013-110499;08-04-2013;10-04-2013;Primeira Classe;Alto
TU-2012-2690;23-05-2012;26-05-2012;Primeira Classe;Alto
CA-2014-166709;18-11-2014;23-11-2014;Classe Padrao;Medio
SG-2014-9460;14-04-2014;17-04-2014;Segunda Classe;Medio
MX-2014-164217;29-08-2014;02-09-2014;Classe Padrao;Alto
ID-2014-80657;16-05-2014;18-05-2014;Segunda Classe;Alto
CM-2012-6440;13-12-2012;15-12-2012;Primeira Classe;Critico
ES-2011-5287434;31-03-2011;04-04-2011;Classe Padrao;Alto
IN-2012-79439;04-02-2012;08-02-2012;Segunda Classe;Medio
IN-2013-58929;29-05-2013;01-06-2013;Segunda Classe;Medio
IT-2012-2646674;29-08-2012;01-09-2012;Primeira Classe;Critico
IN-2011-63577;15-06-2011;17-06-2011;Primeira Classe;Critico
IN-2014-16068;28-08-2014;31-08-2014;Primeira Classe;Medio
MX-2011-150973;27-10-2011;28-10-2011;Primeira Classe;Critico
RS-2014-4120;19-03-2014;23-03-2014;Segunda Classe;Medio
MX-2014-154935;11-09-2014;18-09-2014;Classe Padrao;Baixo
ID-2012-83604;28-08-2012;28-08-2012;Mesmo Dia;Critico
US-2014-117723;16-08-2014;19-08-2014;Segunda Classe;Alto
IN-2013-81112;01-08-2013;04-08-2013;Segunda Classe;Critico
CA-2013-147368;10-06-2013;13-06-2013;Primeira Classe;Critico
SF-2014-3560;24-12-2014;27-12-2014;Primeira Classe;Medio
CA-2012-147830;15-12-2012;18-12-2012;Primeira Classe;Alto
ES-2012-1439357;23-02-2012;26-02-2012;Primeira Classe;Alto
IN-2014-16054;11-10-2014;13-10-2014;Segunda Classe;Critico
US-2014-148817;21-04-2014;23-04-2014;Segunda Classe;Critico
IN-2013-50809;12-06-2013;17-06-2013;Classe Padrao;Medio
ES-2013-1211534;17-09-2013;20-09-2013;Primeira Classe;Alto
IN-2014-81154;19-09-2014;19-09-2014;Mesmo Dia;Critico
IT-2014-2009199;26-11-2014;03-12-2014;Classe Padrao;Medio
IN-2014-51432;20-06-2014;26-06-2014;Classe Padrao;Baixo
HU-2014-7310;23-10-2014;25-10-2014;Primeira Classe;Alto
IN-2011-26176;16-08-2011;20-08-2011;Classe Padrao;Medio
CA-2012-102491;24-08-2012;28-08-2012;Classe Padrao;Alto
ES-2014-5345830;14-01-2014;16-01-2014;Primeira Classe;Alto
ID-2014-58271;13-11-2014;15-11-2014;Segunda Classe;Critico
ID-2013-57949;13-06-2013;13-06-2013;Mesmo Dia;Alto
US-2012-128587;24-12-2012;30-12-2012;Classe Padrao;Medio
IN-2014-68750;22-09-2014;25-09-2014;Segunda Classe;Critico
AO-2011-1670;08-01-2011;13-01-2011;Classe Padrao;Alto
CA-2013-118689;03-10-2013;10-10-2013;Classe Padrao;Medio
IN-2013-42535;30-07-2013;30-07-2013;Mesmo Dia;Critico
IN-2014-27947;30-04-2014;04-05-2014;Classe Padrao;Medio
MX-2011-158204;28-09-2011;30-09-2011;Segunda Classe;Alto
IN-2014-56206;24-06-2014;28-06-2014;Classe Padrao;Medio
IT-2011-3316894;06-04-2011;08-04-2011;Primeira Classe;Alto
IT-2014-2819680;07-08-2014;09-08-2014;Segunda Classe;Critico
US-2013-138408;19-11-2013;22-11-2013;Segunda Classe;Critico
ES-2014-2179863;14-02-2014;16-02-2014;Primeira Classe;Critico
US-2014-110576;29-11-2014;03-12-2014;Classe Padrao;Alto
RO-2012-8470;17-08-2012;19-08-2012;Segunda Classe;Critico
CA-2012-111514;31-08-2012;02-09-2012;Primeira Classe;Alto
MX-2012-157987;07-08-2012;08-08-2012;Primeira Classe;Alto
US-2014-105935;27-01-2014;01-02-2014;Classe Padrao;Alto
CA-2011-139892;08-09-2011;12-09-2011;Classe Padrao;Medio
IN-2012-45825;09-08-2012;11-08-2012;Primeira Classe;Critico
ID-2013-58642;21-02-2013;22-02-2013;Primeira Classe;Alto
ID-2012-65411;18-07-2012;19-07-2012;Primeira Classe;Alto
CA-2011-144624;19-11-2011;23-11-2011;Classe Padrao;Alto
ES-2014-4032097;09-04-2014;12-04-2014;Primeira Classe;Critico
ES-2012-4108483;18-06-2012;20-06-2012;Segunda Classe;Medio
ES-2013-5810502;31-12-2013;02-01-2014;Primeira Classe;Alto
CA-2014-138149;30-06-2014;01-07-2014;Primeira Classe;Alto
IT-2012-3796476;16-01-2012;18-01-2012;Primeira Classe;Alto
CG-2012-8310;12-06-2012;14-06-2012;Primeira Classe;Medio
IN-2014-39735;17-03-2014;22-03-2014;Segunda Classe;Medio
ES-2012-4272278;13-11-2012;17-11-2012;Classe Padrao;Alto
CA-2013-107104;27-11-2013;01-12-2013;Classe Padrao;Medio
CA-2012-156104;06-12-2012;08-12-2012;Segunda Classe;Critico
ES-2014-4856325;16-05-2014;19-05-2014;Primeira Classe;Alto
CA-2014-145219;25-12-2014;26-12-2014;Primeira Classe;Critico
MX-2014-120026;22-12-2014;24-12-2014;Primeira Classe;Alto
ID-2013-12295;14-09-2013;14-09-2013;Mesmo Dia;Medio
ID-2013-10636;07-01-2013;13-01-2013;Classe Padrao;Medio
ES-2014-5554891;27-06-2014;27-06-2014;Mesmo Dia;Critico
ES-2012-5464624;13-07-2012;16-07-2012;Segunda Classe;Critico
IN-2014-59426;11-02-2014;11-02-2014;Mesmo Dia;Critico
IN-2014-59202;29-05-2014;05-06-2014;Classe Padrao;Baixo
IN-2014-44257;16-04-2014;18-04-2014;Segunda Classe;Alto
ES-2014-3860822;27-11-2014;29-11-2014;Primeira Classe;Critico
IN-2011-23530;09-11-2011;11-11-2011;Primeira Classe;Critico
ES-2014-5991471;18-09-2014;18-09-2014;Mesmo Dia;Alto
MX-2014-127656;24-02-2014;27-02-2014;Primeira Classe;Alto
MX-2013-154886;03-09-2013;05-09-2013;Primeira Classe;Critico
IN-2013-36963;23-12-2013;25-12-2013;Primeira Classe;Critico
GH-2014-6410;17-06-2014;19-06-2014;Primeira Classe;Critico
ID-2014-41597;15-03-2014;17-03-2014;Segunda Classe;Alto
IN-2014-47449;12-07-2014;13-07-2014;Primeira Classe;Medio
ES-2014-4622860;09-06-2014;12-06-2014;Primeira Classe;Critico
ES-2014-2538638;15-10-2014;17-10-2014;Segunda Classe;Critico
IN-2014-32084;06-08-2014;09-08-2014;Segunda Classe;Alto
ES-2012-3954494;07-12-2012;07-12-2012;Mesmo Dia;Alto
ID-2012-79551;25-12-2012;28-12-2012;Segunda Classe;Medio
IR-2013-1770;17-06-2013;18-06-2013;Primeira Classe;Medio
IN-2014-13597;03-11-2014;07-11-2014;Classe Padrao;Medio
ES-2012-5967582;28-05-2012;31-05-2012;Primeira Classe;Critico
ES-2013-1215823;17-08-2013;20-08-2013;Segunda Classe;Critico
UP-2011-5440;03-06-2011;05-06-2011;Primeira Classe;Critico
IT-2011-1646767;14-07-2011;15-07-2011;Primeira Classe;Critico
CA-2011-122931;29-09-2011;03-10-2011;Classe Padrao;Alto
ES-2011-3805636;17-10-2011;24-10-2011;Classe Padrao;Baixo
IN-2011-40155;14-11-2011;20-11-2011;Classe Padrao;Medio
ES-2014-5084020;14-07-2014;18-07-2014;Segunda Classe;Alto
MX-2014-108532;03-06-2014;05-06-2014;Primeira Classe;Alto
IN-2014-74847;15-12-2014;17-12-2014;Segunda Classe;Alto
MZ-2014-140;28-06-2014;28-06-2014;Mesmo Dia;Critico
US-2014-154487;20-12-2014;24-12-2014;Classe Padrao;Alto
IN-2012-72964;06-02-2012;09-02-2012;Primeira Classe;Critico
MX-2011-146584;21-01-2011;27-01-2011;Classe Padrao;Baixo
MX-2012-144848;03-08-2012;05-08-2012;Primeira Classe;Medio
ID-2014-27163;27-10-2014;31-10-2014;Segunda Classe;Alto
IN-2012-26274;27-02-2012;04-03-2012;Classe Padrao;Medio
IR-2012-660;11-06-2012;12-06-2012;Primeira Classe;Critico
IN-2011-44901;23-02-2011;26-02-2011;Primeira Classe;Alto
