Id_Funcionario,Idade,Genero,Estado Civil,Departamento,Funcao,Viagem,Valor Diaria,Indice_Envolvimento_Trabalho,Nivel_Satisfacao_Trabalho,Salario_Mensal,Numero_Empresas_Anteriores,Disponivel_Hora_Extra,Percentual_Ultimo_Aumento_Salario,Aval_Performance,Anos_Experiencia,Numero_Treinamentos_Ano_Anterior,Anos_na_Empresa,Anos_Funcao_Atual,Anos_Desde_Ultima_Promocao,Anos_com_Gerente_Atual
78,32,Masculino,Casado,Data Science,Arquiteto de Dados,Viaja Raramente,427,3,4,6162,1,S,22,4,9,3,9,8,7,8
79,38,Feminino,Solteiro,Data Science,Analista de Dados,Viaja Frequentemente,653,3,4,2406,1,N,11,3,10,2,10,3,9,9
80,50,Feminino,Divorciado,Data Science,Engenheiro Analitico,Viaja Raramente,989,2,3,18740,5,S,12,3,29,2,27,3,13,8
81,59,Feminino,Solteiro,Data Science,Cientista de Dados,Viaja Raramente,1435,3,1,7637,7,N,11,3,28,3,21,16,7,9
83,36,Feminino,Divorciado,Data Science,Engenheiro de Dados,Viaja Raramente,1223,3,3,10096,1,N,13,3,17,2,17,14,12,8
84,55,Feminino,Divorciado,Data Science,Engenheiro de IA,Viaja Raramente,836,3,3,14756,2,S,14,3,21,2,5,0,0,2
85,36,Masculino,Solteiro,Data Science,Arquiteto de Dados,Viaja Frequentemente,1195,2,2,6499,1,N,13,3,6,3,6,5,0,3
86,45,Masculino,Divorciado,Data Science,Cientista de Dados,Viaja Raramente,1339,3,1,9724,2,N,17,3,25,2,1,0,0,0
88,35,Masculino,Casado,Data Science,Cientista de Dados,Viaja Frequentemente,664,3,1,2194,4,N,13,3,5,2,3,2,1,2
90,36,Masculino,Casado,Data Science,Cientista de Dados,Viaja Raramente,318,2,3,3388,0,S,17,3,2,0,1,0,0,0
91,59,Feminino,Solteiro,Data Science,Cientista de Dados,Viaja Frequentemente,1225,2,3,5473,7,N,11,3,20,2,4,3,1,3
94,29,Masculino,Casado,Data Science,Cientista de Dados,Viaja Raramente,1328,3,2,12703,0,N,23,4,6,3,5,4,0,4
95,31,Masculino,Solteiro,Data Science,Cientista de Dados,Viaja Raramente,1082,3,2,2501,1,N,17,3,1,4,1,1,1,0
96,32,Masculino,Casado,Data Science,Cientista de Dados,Viaja Raramente,548,3,2,16220,1,N,17,3,10,3,10,4,0,9
97,36,Feminino,Casado,Data Science,Analista de Dados,Viaja Raramente,132,4,4,13038,3,N,12,3,5,3,1,0,0,0
98,31,Feminino,Solteiro,Data Science,Arquiteto de Dados,Viaja Raramente,746,3,4,14424,1,N,23,4,11,2,11,7,1,8
100,35,Masculino,Solteiro,Data Science,Cientista de Dados,Viaja Raramente,776,2,1,14312,0,N,14,3,16,2,15,13,2,8
101,45,Masculino,Casado,Data Science,Engenheiro Analitico,Viaja Raramente,193,3,1,13245,4,S,14,3,17,3,0,0,0,0
102,37,Masculino,Solteiro,Data Science,Engenheiro Analitico,Viaja Raramente,397,3,3,13664,4,N,13,3,16,3,5,2,0,2
103,46,Masculino,Divorciado,Data Science,Cientista de Dados,Viaja Raramente,945,3,2,15021,8,S,22,4,16,2,4,2,0,2
104,30,Masculino,Casado,Data Science,Analista de Dados,Viaja Raramente,852,2,4,5126,1,S,12,3,10,1,10,8,3,0
105,35,Masculino,Solteiro,Data Science,Cientista de Dados,Viaja Raramente,1214,2,3,12859,1,N,18,3,6,3,6,4,0,4
106,55,Masculino,Casado,Data Science,Cientista de Dados,Viaja Raramente,111,3,4,10239,3,N,14,3,24,4,1,0,1,0
107,38,Feminino,Divorciado,Data Science,Cientista de Dados,Apenas Local,573,1,4,15329,7,S,12,3,17,3,13,11,1,9
110,34,Masculino,Casado,Data Science,Arquiteto de Dados,Viaja Raramente,1153,3,2,4325,1,N,15,3,5,2,5,2,1,3
112,56,Masculino,Solteiro,Data Science,Arquiteto de Dados,Viaja Raramente,1400,1,4,17260,4,N,11,3,37,3,6,4,0,2
113,23,Masculino,Divorciado,Data Science,Engenheiro de IA,Viaja Raramente,541,3,1,2322,3,N,13,3,3,3,0,0,0,0
116,51,Masculino,Casado,Data Science,Analista de Dados,Viaja Raramente,432,3,4,2075,3,N,23,4,10,4,4,2,0,3
117,30,Masculino,Casado,Data Science,Engenheiro de Dados,Viaja Raramente,288,2,4,4152,1,N,19,3,11,3,11,10,10,8
118,46,Masculino,Solteiro,Data Science,Cientista de Dados,Viaja Raramente,669,2,4,9619,1,N,16,3,9,3,9,8,4,7
119,40,Masculino,Casado,Data Science,Engenheiro de Dados,Viaja Frequentemente,530,2,2,13503,1,N,22,4,22,3,22,3,11,11
120,51,Masculino,Solteiro,Data Science,Cientista de Dados,Viaja Raramente,632,3,4,5441,0,S,22,4,11,2,10,7,1,0
121,30,Feminino,Divorciado,Data Science,Cientista de Dados,Viaja Raramente,1334,2,2,5209,1,S,12,3,11,4,11,8,2,7
124,46,Masculino,Casado,Data Science,Engenheiro de Dados,Viaja Frequentemente,638,2,1,10673,2,S,13,3,21,5,10,9,9,5
125,32,Masculino,Solteiro,Data Science,Cientista de Dados,Viaja Raramente,1093,3,3,5010,1,N,16,3,12,0,11,8,5,7
126,54,Feminino,Casado,Data Science,Engenheiro Analitico,Viaja Raramente,1217,3,3,13549,9,N,12,3,16,5,4,3,0,3
128,24,Feminino,Casado,Data Science,Cientista de Dados,Viaja Raramente,1353,3,3,4999,0,N,21,4,4,2,3,2,0,2
129,28,Masculino,Casado,Data Science,Cientista de Dados,Apenas Local,120,3,3,4221,1,N,15,3,5,3,5,4,0,4
131,58,Masculino,Solteiro,Data Science,Cientista de Dados,Viaja Raramente,682,3,3,13872,0,N,13,3,38,1,37,10,1,8
132,44,Masculino,Casado,Data Science,Analista de Dados,Apenas Local,489,3,2,2042,4,N,12,3,17,3,3,2,1,2
133,37,Masculino,Divorciado,Data Science,Cientista de Dados,Viaja Raramente,807,3,1,2073,4,S,22,4,7,3,3,2,0,2
134,32,Masculino,Solteiro,Data Science,Cientista de Dados,Viaja Raramente,827,3,1,2956,1,N,13,3,1,2,1,0,0,0
137,20,Feminino,Solteiro,Data Science,Analista de Dados,Viaja Frequentemente,871,2,4,2926,1,S,18,3,1,5,1,0,1,0
138,34,Feminino,Solteiro,Data Science,Cientista de Dados,Viaja Raramente,665,3,3,4809,1,N,14,3,16,3,16,13,2,10
139,37,Masculino,Divorciado,Data Science,Engenheiro de Dados,Apenas Local,1040,2,4,5163,5,N,14,3,17,2,1,0,0,0
140,59,Feminino,Casado,Data Science,Engenheiro de IA,Apenas Local,1420,2,4,18844,9,N,21,4,30,3,3,2,2,2
141,50,Feminino,Casado,Data Science,Engenheiro Analitico,Viaja Frequentemente,1115,3,2,18172,3,S,19,3,28,1,8,3,0,7
142,25,Masculino,Solteiro,Data Science,Cientista de Dados,Viaja Raramente,240,2,3,5744,1,S,11,3,6,1,6,4,0,3
143,25,Masculino,Casado,Data Science,Cientista de Dados,Viaja Raramente,1280,2,4,2889,1,N,11,3,2,2,2,2,2,1
144,22,Feminino,Solteiro,Data Science,Analista de Dados,Viaja Raramente,534,3,4,2871,1,N,15,3,1,5,0,0,0,0
145,51,Feminino,Solteiro,Data Science,Engenheiro de Dados,Viaja Frequentemente,1456,2,1,7484,3,N,20,4,23,1,13,12,12,8
147,34,Masculino,Solteiro,Data Science,Analista de Dados,Viaja Frequentemente,658,1,3,6074,1,S,24,4,9,3,9,7,0,6
148,54,Feminino,Solteiro,Data Science,Engenheiro de IA,Apenas Local,142,4,4,17328,2,S,12,3,23,3,5,3,4,4
150,24,Masculino,Casado,Data Science,Analista de Dados,Viaja Raramente,1127,3,3,2774,0,N,12,3,6,2,5,3,1,2
151,34,Feminino,Divorciado,Data Science,Cientista de Dados,Viaja Raramente,1031,2,2,4505,6,N,15,3,12,3,1,0,0,0
152,37,Masculino,Solteiro,Data Science,Cientista de Dados,Viaja Raramente,1189,3,4,7428,2,N,12,3,12,3,5,3,1,3
153,34,Feminino,Solteiro,Data Science,Engenheiro de IA,Viaja Raramente,1354,2,1,11631,2,N,12,3,14,6,11,10,5,8
154,36,Feminino,Casado,Data Science,Cientista de Dados,Viaja Frequentemente,1467,3,4,9738,0,N,14,3,10,6,9,7,2,8
155,36,Feminino,Divorciado,Data Science,Analista de Dados,Viaja Raramente,922,3,4,2835,5,N,22,4,7,2,1,0,0,0
158,43,Masculino,Casado,Data Science,Engenheiro de IA,Viaja Frequentemente,394,3,4,16959,1,S,12,3,25,3,25,12,4,12
159,30,Masculino,Divorciado,Data Science,Cientista de Dados,Viaja Frequentemente,1312,1,3,2613,1,N,25,4,10,2,10,7,0,9
160,33,Masculino,Casado,Data Science,Cientista de Dados,Apenas Local,750,3,2,6146,0,N,13,3,8,2,7,7,0,7
161,56,Feminino,Casado,Data Science,Cientista de Dados,Viaja Raramente,441,3,2,4963,9,S,18,3,7,2,5,4,4,3
162,51,Masculino,Solteiro,Data Science,Engenheiro Analitico,Viaja Raramente,684,3,3,19537,7,N,13,3,23,5,20,18,15,15
163,31,Masculino,Casado,Data Science,Cientista de Dados,Viaja Raramente,249,1,3,6172,4,S,18,3,12,3,7,7,7,7
164,26,Feminino,Casado,Data Science,Cientista de Dados,Viaja Raramente,841,2,2,2368,1,N,19,3,5,3,5,4,4,3
165,58,Feminino,Casado,Data Science,Engenheiro de Dados,Viaja Raramente,147,3,4,10312,1,N,12,3,40,3,40,10,15,6
167,19,Masculino,Solteiro,Data Science,Engenheiro de IA,Viaja Raramente,528,3,3,1675,1,S,19,3,0,2,0,0,0,0
169,22,Masculino,Casado,Data Science,Analista de Dados,Viaja Raramente,594,3,4,2523,0,N,14,3,3,2,2,1,2,1
170,49,Feminino,Casado,Data Science,Arquiteto de Dados,Viaja Raramente,470,3,1,6567,1,N,14,3,16,2,15,11,5,11
171,43,Feminino,Solteiro,Data Science,Cientista de Dados,Viaja Frequentemente,957,4,3,4739,4,N,12,3,18,2,3,2,1,2
174,50,Feminino,Solteiro,Data Science,Cientista de Dados,Viaja Frequentemente,809,3,4,9208,4,N,11,3,16,3,2,2,2,1
175,31,Feminino,Casado,Data Science,Cientista de Dados,Viaja Raramente,542,1,3,4559,3,S,11,3,4,2,2,2,2,2
176,41,Masculino,Divorciado,Data Science,Cientista de Dados,Viaja Raramente,802,3,3,8189,3,S,13,3,12,2,9,7,0,7
177,26,Feminino,Casado,Data Science,Cientista de Dados,Viaja Raramente,1355,3,3,2942,1,N,23,4,8,3,8,7,5,7
178,36,Masculino,Divorciado,Data Science,Arquiteto de Dados,Viaja Raramente,216,3,2,4941,6,N,20,4,7,0,3,2,0,1
179,51,Masculino,Solteiro,Data Science,Arquiteto de Dados,Viaja Frequentemente,1150,1,4,10650,2,N,15,3,18,2,4,2,0,3
182,39,Feminino,Casado,Data Science,Cientista de Dados,Viaja Raramente,1329,2,3,5902,4,N,14,3,17,1,15,11,5,9
183,25,Masculino,Casado,Data Science,Cientista de Dados,Viaja Raramente,959,2,3,8639,2,N,18,3,6,3,2,2,2,2
184,30,Masculino,Casado,Data Science,Cientista de Dados,Viaja Raramente,1240,3,4,6347,0,S,19,3,12,2,11,9,4,7
190,32,Feminino,Solteiro,Data Science,Analista de Dados,Viaja Raramente,1033,3,1,4200,7,N,22,4,10,2,5,4,0,4
192,45,Masculino,Solteiro,Data Science,Cientista de Dados,Viaja Raramente,1316,3,4,3452,5,N,13,3,9,2,6,5,0,3
193,38,Feminino,Solteiro,Data Science,Cientista de Dados,Viaja Raramente,364,3,3,4317,3,S,20,4,19,2,3,2,2,2
194,30,Feminino,Solteiro,Data Science,Cientista de Dados,Viaja Raramente,438,3,3,2632,1,N,14,3,5,4,5,4,0,4
195,32,Masculino,Divorciado,Data Science,Cientista de Dados,Viaja Frequentemente,689,1,4,4668,0,N,17,3,9,2,8,7,0,7
197,30,Feminino,Divorciado,Data Science,Cientista de Dados,Viaja Raramente,201,3,1,13204,5,N,14,3,8,3,3,2,2,2
198,30,Masculino,Solteiro,Data Science,Analista de Dados,Viaja Raramente,1427,2,4,2720,0,N,13,3,6,3,5,3,1,2
199,41,Masculino,Divorciado,Data Science,Engenheiro de IA,Viaja Frequentemente,857,2,1,17181,4,N,13,3,21,2,7,6,7,7
200,41,Masculino,Casado,Data Science,Analista de Dados,Viaja Raramente,933,3,1,2238,2,N,21,4,7,2,5,0,1,4
201,19,Feminino,Solteiro,Data Science,Analista de Dados,Viaja Raramente,1181,3,2,1483,1,N,14,3,1,3,1,0,0,0
202,40,Feminino,Divorciado,Data Science,Cientista de Dados,Viaja Frequentemente,1395,3,2,5605,1,N,11,3,20,2,20,7,2,13
204,35,Masculino,Casado,Data Science,Cientista de Dados,Viaja Raramente,662,3,2,7295,1,N,13,3,10,3,10,8,0,6
205,53,Masculino,Casado,Data Science,Engenheiro de IA,Viaja Raramente,1436,3,3,2306,2,S,20,4,13,3,7,7,4,5
206,45,Masculino,Divorciado,Data Science,Analista de Dados,Viaja Raramente,194,3,2,2348,8,N,18,3,20,2,17,9,0,15
207,32,Feminino,Solteiro,Data Science,Cientista de Dados,Viaja Frequentemente,967,3,4,8998,1,N,14,3,9,2,9,8,3,7
208,29,Masculino,Casado,Data Science,Arquiteto de Dados,Apenas Local,1496,3,3,4319,1,N,13,3,10,1,10,7,0,9
211,51,Masculino,Casado,Data Science,Arquiteto de Dados,Viaja Raramente,1169,2,3,6132,2,N,17,3,10,2,1,0,0,0
214,58,Feminino,Casado,Data Science,Cientista de Dados,Viaja Raramente,1145,2,2,3346,4,S,20,4,9,3,1,0,0,0
215,40,Masculino,Casado,Data Science,Cientista de Dados,Viaja Raramente,630,2,4,10855,7,N,11,3,15,2,12,11,2,11
216,34,Feminino,Casado,Data Science,Engenheiro de IA,Viaja Frequentemente,303,3,3,12231,6,N,18,3,6,3,4,3,1,2
217,22,Masculino,Casado,Data Science,Cientista de Dados,Viaja Raramente,1256,3,4,12323,1,N,24,4,2,6,2,2,2,2
218,27,Masculino,Divorciado,Data Science,Cientista de Dados,Apenas Local,691,3,2,2024,6,N,18,3,6,1,2,2,2,2
221,28,Masculino,Casado,Data Science,Cientista de Dados,Viaja Raramente,440,3,4,2713,1,N,11,3,5,2,5,2,0,2
223,57,Masculino,Divorciado,Data Science,Engenheiro de Dados,Viaja Raramente,334,4,4,9439,3,S,16,3,12,2,5,3,1,4
224,27,Masculino,Divorciado,Data Science,Cientista de Dados,Apenas Local,1450,2,3,2566,1,S,15,3,1,2,1,1,0,1
226,50,Feminino,Solteiro,Data Science,Engenheiro de IA,Viaja Raramente,1452,3,2,19926,3,N,15,3,21,5,5,4,4,4
227,41,Masculino,Divorciado,Data Science,Cientista de Dados,Viaja Raramente,465,3,3,2451,4,N,12,3,13,2,9,8,1,8
228,30,Feminino,Casado,Data Science,Cientista de Dados,Viaja Raramente,1339,3,4,9419,2,N,12,3,12,2,10,9,7,4
230,38,Feminino,Solteiro,Data Science,Cientista de Dados,Viaja Raramente,702,2,4,8686,4,N,22,4,12,2,8,3,0,7
231,32,Masculino,Solteiro,Data Science,Cientista de Dados,Viaja Raramente,120,3,3,3038,3,N,20,4,8,2,5,4,1,4
233,27,Masculino,Casado,Data Science,Cientista de Dados,Viaja Raramente,1157,3,2,3058,0,S,16,3,6,3,5,2,1,1
235,19,Feminino,Solteiro,Data Science,Engenheiro de IA,Viaja Frequentemente,602,1,1,2325,0,N,21,4,1,5,0,0,0,0
238,36,Masculino,Solteiro,Data Science,Analista de Dados,Viaja Frequentemente,1480,3,2,2088,4,N,12,3,13,3,8,7,7,2
239,30,Masculino,Divorciado,Data Science,Analista de Dados,Apenas Local,111,3,1,3072,1,N,11,3,12,4,12,9,6,10
240,45,Feminino,Divorciado,Data Science,Cientista de Dados,Viaja Raramente,1268,3,1,5006,4,S,11,3,9,3,5,4,0,3
241,56,Feminino,Divorciado,Data Science,Cientista de Dados,Viaja Raramente,713,3,1,4257,4,S,18,3,19,3,2,2,2,2
242,33,Masculino,Solteiro,Data Science,Cientista de Dados,Viaja Raramente,134,3,4,2500,0,N,14,3,4,2,3,1,0,2
243,19,Masculino,Solteiro,Data Science,Analista de Dados,Viaja Raramente,303,2,4,1102,1,N,22,4,1,3,1,0,1,0
244,46,Feminino,Divorciado,Data Science,Cientista de Dados,Viaja Raramente,526,3,1,10453,1,N,25,4,24,2,24,13,15,7
245,38,Feminino,Solteiro,Data Science,Analista de Dados,Viaja Raramente,1380,3,4,2288,1,N,12,3,2,3,2,2,2,1
246,31,Feminino,Casado,Data Science,Cientista de Dados,Viaja Raramente,140,3,4,3929,8,S,23,4,7,0,4,2,0,2
247,34,Feminino,Solteiro,Data Science,Cientista de Dados,Viaja Raramente,629,3,2,2311,2,N,15,3,9,3,3,2,1,2
248,41,Feminino,Solteiro,Data Science,Engenheiro de IA,Viaja Raramente,1356,3,2,3140,1,S,22,4,4,5,4,3,0,2
249,50,Masculino,Casado,Data Science,Analista de Dados,Viaja Raramente,328,2,3,3690,2,N,15,3,5,2,3,2,0,2
250,53,Feminino,Divorciado,Data Science,Arquiteto de Dados,Viaja Raramente,1084,4,1,4450,1,N,11,3,5,3,4,2,1,3
252,33,Feminino,Casado,Data Science,Cientista de Dados,Viaja Raramente,931,3,2,2756,1,N,13,3,8,5,8,7,1,6
253,40,Feminino,Casado,Data Science,Engenheiro de IA,Viaja Raramente,989,3,3,19033,1,N,14,3,21,2,20,8,9,9
254,55,Masculino,Solteiro,Data Science,Engenheiro Analitico,Viaja Raramente,692,4,2,18722,8,N,11,3,36,3,24,15,2,15
256,34,Masculino,Casado,Data Science,Arquiteto de Dados,Viaja Frequentemente,1069,2,3,9547,1,N,17,3,10,2,10,9,1,9
258,51,Feminino,Solteiro,Data Science,Engenheiro de Dados,Viaja Raramente,313,3,2,13734,3,N,18,3,21,6,7,7,1,0
259,52,Masculino,Casado,Data Science,Engenheiro de IA,Viaja Raramente,699,2,3,19999,0,N,14,3,34,5,33,18,11,9
260,27,Feminino,Solteiro,Data Science,Cientista de Dados,Viaja Raramente,894,3,2,2279,1,N,16,3,7,2,7,7,0,3
261,35,Masculino,Casado,Data Science,Arquiteto de Dados,Viaja Raramente,556,2,3,5916,3,S,13,3,8,1,1,0,0,1
262,43,Masculino,Divorciado,Data Science,Cientista de Dados,Apenas Local,1344,4,4,2089,4,N,14,3,7,3,5,4,2,2
264,45,Masculino,Casado,Data Science,Engenheiro de IA,Apenas Local,1195,2,4,16792,9,N,23,4,22,1,20,8,11,8
267,37,Masculino,Casado,Data Science,Cientista de Dados,Viaja Raramente,290,4,1,3564,1,S,12,3,8,3,8,7,1,7
269,35,Feminino,Solteiro,Data Science,Analista de Dados,Viaja Frequentemente,138,3,2,4425,5,N,11,3,10,5,6,2,1,2
270,42,Feminino,Divorciado,Data Science,Arquiteto de Dados,Apenas Local,926,3,3,5265,2,N,16,3,11,5,5,3,0,2
271,38,Masculino,Casado,Data Science,Arquiteto de Dados,Viaja Raramente,1261,3,3,6553,9,N,14,3,14,3,1,0,0,0
273,38,Masculino,Casado,Data Science,Arquiteto de Dados,Viaja Raramente,1084,3,4,6261,3,N,18,3,9,3,7,7,1,7
274,27,Masculino,Casado,Data Science,Arquiteto de Dados,Viaja Frequentemente,472,2,1,4298,5,N,19,3,6,1,2,2,2,0
