ID_Cliente,Idade,Peso,Altura,Estado Civil,Estado,Limite de Credito,Valor Desconto,Valor Compra,Tipo de Cliente
GMYL211,32,56,192,Casado,SP,6092,86,4259,Bronze
TVLZ358,25,76,174,Divorciado,RS,6016,42,2816,Prata
YYJD492,25,74,163,Solteiro,RJ,6227,50,4428,Ouro
TNJC906,37,68,168,Solteiro,RS,4500,21,2431,Ouro
EQER645,46,60,185,Casado,RS,7364,39,753,Ouro
TNLM229,30,82,175,Casado,MG,6438,58,3944,Diamante
GARX474,53,49,172,Viúvo,MG,6315,72,4512,Diamante
DKHC205,29,92,169,Solteiro,RJ,6126,71,2058,Ouro
IMCS700,42,39,183,Viúvo,RJ,4337,65,2823,Ouro
BUII839,54,49,171,Divorciado,RS,4576,19,3767,Diamante
YHTD932,33,47,166,Casado,RS,7644,66,3392,Prata
QOKL359,44,69,180,Casado,RJ,3705,53,3569,Prata
UAVP298,31,73,159,Casado,MG,2267,16,450,Diamante
XCYM122,24,56,179,Casado,RJ,6338,57,2682,Prata
NAHY119,45,46,176,Casado,RJ,4376,57,1253,Ouro
DRCK353,42,82,171,Divorciado,SP,6609,79,4755,Bronze
IYRD374,23,80,166,Solteiro,MG,7425,86,1358,Bronze
TTFU663,48,79,171,Solteiro,MG,4802,61,3728,Ouro
OZWW858,45,53,174,Solteiro,RJ,3024,34,4547,Ouro
LYNU543,42,65,182,Divorciado,RJ,6381,28,3416,Ouro
ACEK329,32,72,181,Solteiro,RJ,6056,47,5232,Diamante
ROYR233,31,80,175,Viúvo,RJ,7038,80,3256,Prata
HFSS596,34,53,167,Viúvo,MG,6502,54,3319,Ouro
SWMT728,52,83,181,Casado,RS,8383,68,2434,Prata
JRNH210,45,79,180,Divorciado,RS,5522,36,4412,Ouro
BLEE525,31,88,161,Casado,MG,6694,61,3357,Bronze
RPMA917,24,60,157,Divorciado,RS,5227,58,2601,Prata
MXPL280,43,76,169,Solteiro,SP,1248,86,1896,Bronze
BKWG964,44,89,177,Divorciado,RJ,3899,14,1557,Diamante
DMUB368,52,53,180,Casado,MG,3511,34,-101,Prata
ASGL951,34,68,163,Solteiro,RS,3720,68,4686,Ouro
QYCL153,50,81,167,Casado,SP,1239,78,3032,Prata
LOCL464,33,51,161,Casado,SP,3744,43,867,Diamante
ZNGS977,38,40,166,Solteiro,SP,3263,73,-299,Ouro
LQJW763,51,86,175,Casado,SP,4178,75,3857,Diamante
LIHX511,42,65,175,Divorciado,RJ,7788,64,3699,Diamante
OBRR796,54,61,157,Divorciado,SP,8859,50,4710,Prata
PMZI593,26,77,166,Viúvo,SP,5398,48,5109,Diamante
WVRI220,42,60,168,Solteiro,SP,1183,59,1670,Diamante
MLXS869,40,55,173,Solteiro,RS,7973,55,2451,Diamante
NEJE983,56,58,177,Casado,RS,4900,45,1381,Ouro
JKDM687,33,65,169,Solteiro,SP,5891,50,3429,Prata
GPAB524,48,84,179,Solteiro,MG,3267,38,2001,Ouro
ASOS407,51,71,177,Viúvo,RS,1493,81,5527,Diamante
AAHM676,49,71,170,Casado,RJ,6843,71,5176,Prata
OAOC811,36,63,180,Casado,MG,5955,63,495,Ouro
KMDZ220,27,69,170,Divorciado,MG,5927,52,1453,Bronze
UQNR193,38,61,167,Viúvo,RJ,4050,46,3562,Ouro
YLZG166,20,67,177,Divorciado,RS,5944,76,4391,Bronze
BRCW223,53,71,193,Casado,RJ,2768,30,1337,Prata
RYWW320,45,46,160,Viúvo,MG,3159,57,1888,Bronze
HUWB756,47,52,184,Casado,RS,3320,41,2890,Prata
JYNN465,55,74,164,Casado,RJ,5454,37,2009,Bronze
VVIH931,45,74,182,Solteiro,SP,6738,72,2587,Bronze
JLSB520,45,62,185,Divorciado,RS,6274,59,2821,Diamante
OYSL684,47,62,158,Viúvo,RS,2961,106,5020,Prata
LNKR871,43,73,192,Casado,RS,4215,95,5880,Prata
FEDV964,37,72,164,Viúvo,RJ,6486,68,5414,Diamante
AEXR509,27,59,164,Viúvo,MG,4777,27,4128,Diamante
STZV690,54,83,175,Viúvo,MG,6155,67,1182,Ouro
OPME890,21,89,178,Solteiro,MG,8465,9,819,Prata
KQRB354,33,67,157,Solteiro,RS,4390,2,2878,Diamante
GYWT490,36,52,170,Viúvo,RJ,1670,27,3884,Bronze
ZBWC208,44,87,160,Divorciado,MG,4024,49,2479,Ouro
AHEC472,32,77,172,Casado,RJ,7523,41,2130,Diamante
VRTZ417,23,88,166,Viúvo,RS,3846,80,3489,Bronze
JQCH602,29,45,174,Solteiro,RS,5335,42,4314,Ouro
AFVS124,38,62,188,Viúvo,SP,4296,40,2474,Ouro
UNYN146,35,61,166,Viúvo,SP,6742,78,4820,Ouro
TYYL501,35,61,171,Casado,RS,2089,33,4496,Prata
NAZE394,48,108,178,Casado,RS,6155,71,2637,Prata
TRCY615,36,67,176,Solteiro,SP,4817,59,2916,Prata
FDSV538,40,103,166,Divorciado,RS,5956,43,3923,Diamante
PPYD113,51,70,186,Solteiro,MG,3692,49,5394,Prata
TWHH472,48,70,166,Viúvo,RS,4030,68,2091,Prata
JOPD447,52,67,177,Divorciado,RJ,7494,26,3368,Prata
PHFQ405,10,94,162,Viúvo,RJ,7642,58,2155,Bronze
OIII841,56,67,174,Viúvo,RJ,5062,50,304,Ouro
WEID207,33,56,171,Divorciado,RJ,4614,17,3770,Bronze
FJRP678,38,39,173,Divorciado,RS,7397,65,6456,Ouro
GOTN986,51,70,150,Divorciado,RJ,3351,35,3078,Diamante
ZQTZ465,54,56,184,Divorciado,RS,6610,55,5464,Ouro
NPRK668,52,76,163,Solteiro,RJ,9012,46,4900,Bronze
GDMY110,51,80,187,Divorciado,SP,4515,25,1668,Prata
YEQR583,36,82,172,Casado,RS,3999,53,1796,Diamante
EKDC384,34,51,167,Viúvo,SP,5473,49,3215,Bronze
FQPP602,48,61,161,Casado,MG,9028,46,1969,Prata
AWEP622,37,70,165,Divorciado,RS,7049,65,4199,Diamante
KKPB143,44,80,173,Solteiro,SP,5345,48,4297,Bronze
VLWZ866,43,84,171,Viúvo,MG,3200,51,3465,Bronze
NZZN769,42,48,164,Divorciado,SP,9003,57,2849,Ouro
FBZQ530,30,72,152,Viúvo,RJ,6244,23,4353,Diamante
IBGS952,35,55,179,Divorciado,MG,6967,23,2429,Prata
TKSQ574,36,88,151,Viúvo,MG,2397,30,4175,Ouro
TIMC781,38,107,182,Casado,RS,2786,50,2753,Bronze
IVAU859,40,35,163,Solteiro,RS,4955,52,3727,Prata
BOPU622,46,35,193,Casado,RS,2915,54,6047,Prata
DXCW536,26,57,177,Viúvo,RS,8557,39,2415,Bronze
VHFI548,33,94,171,Solteiro,SP,2880,20,3268,Ouro
RQQJ389,16,69,172,Casado,RS,5275,87,2017,Bronze
HOTM301,52,58,180,Divorciado,SP,4392,44,3108,Bronze
KCSD239,31,58,157,Divorciado,MG,6033,47,4626,Ouro
XQDD796,32,105,160,Solteiro,SP,8499,41,5264,Ouro
PWZA316,57,82,179,Divorciado,RS,7868,32,134,Ouro
EOHW789,36,57,158,Divorciado,MG,4550,32,1341,Bronze
NGKT314,37,60,171,Viúvo,RJ,7654,32,3978,Ouro
GEPS364,62,81,153,Viúvo,RS,7425,63,2279,Ouro
QPLJ590,39,64,185,Divorciado,SP,8522,49,694,Ouro
VWSY100,39,75,153,Divorciado,SP,3901,-2,2525,Bronze
BLSP952,42,66,165,Viúvo,RS,6612,74,2939,Ouro
UICT498,37,89,178,Divorciado,RS,2080,54,3243,Prata
YSAD229,37,94,182,Casado,RS,1057,74,382,Ouro
DAMD980,35,89,170,Divorciado,RS,2414,66,3031,Prata
MCWT489,19,77,180,Viúvo,RS,4933,40,3658,Bronze
IKJO436,44,63,166,Casado,MG,5809,50,5407,Ouro
TEFA853,39,70,170,Viúvo,MG,1926,78,1767,Ouro
QSHX625,52,109,180,Casado,MG,5772,37,3683,Ouro
LOZH824,34,38,178,Solteiro,SP,1573,31,3910,Bronze
JVKM689,41,58,171,Divorciado,SP,5138,58,3175,Bronze
CVMK121,47,61,166,Viúvo,RJ,2479,68,2031,Bronze
MSSL704,35,90,178,Solteiro,RS,7356,31,4353,Diamante
EUSB106,40,71,180,Solteiro,SP,4087,50,5468,Bronze
EZZX770,47,87,156,Casado,SP,5364,42,3088,Ouro
YVNP654,42,74,177,Divorciado,SP,3827,38,2414,Diamante
WZWA849,31,62,164,Solteiro,MG,8140,33,4129,Prata
ZVBG480,41,84,194,Solteiro,SP,2262,12,4832,Bronze
ZIIY470,35,75,187,Divorciado,RS,5082,43,1975,Ouro
OVSN454,48,99,177,Divorciado,RJ,5517,50,4486,Diamante
JIBN954,37,42,176,Divorciado,SP,5649,64,2965,Bronze
OGLQ715,31,62,174,Casado,MG,-1794,23,1168,Diamante
BKJT291,35,50,166,Solteiro,MG,5994,37,1308,Bronze
WEPU673,47,81,166,Solteiro,RJ,4400,52,3767,Ouro
NJCN627,49,79,157,Viúvo,RJ,4879,25,2364,Prata
TQJY318,31,71,174,Solteiro,RS,6275,23,1187,Ouro
BJRV746,46,80,172,Casado,MG,5251,118,3575,Bronze
AYLS276,53,59,172,Solteiro,RJ,5356,43,4338,Ouro
GOEH557,47,85,166,Divorciado,SP,4385,40,1107,Prata
FHTY556,38,81,173,Solteiro,SP,5730,46,3712,Diamante
GXGE762,36,73,166,Solteiro,RS,6613,67,2274,Ouro
OWXR585,17,65,168,Divorciado,RS,7081,23,2765,Ouro
JYZF705,39,81,173,Divorciado,SP,3300,26,-249,Prata
TXAD424,41,51,170,Solteiro,RJ,7971,52,2560,Ouro
GKHT523,25,60,171,Viúvo,RJ,2859,39,3454,Bronze
EDNU965,39,63,175,Solteiro,RS,327,67,4713,Ouro
HJMD770,41,70,188,Viúvo,RS,2484,36,1835,Ouro
EMQF253,43,74,166,Solteiro,RS,7799,56,611,Prata
DHOQ646,53,61,171,Divorciado,RS,6266,68,4062,Prata
VAAG307,38,65,174,Divorciado,MG,3261,59,2547,Diamante
FVOK678,49,76,193,Casado,MG,9098,91,1268,Diamante
SLDB485,52,58,164,Viúvo,SP,3110,42,2520,Ouro
NRGR815,36,82,195,Viúvo,RS,7165,33,2544,Diamante
YAVG487,36,66,170,Casado,SP,7476,63,1144,Bronze
GYUY559,39,52,162,Casado,RS,3595,57,3726,Prata
ZBCY762,46,71,178,Casado,RS,4127,76,4720,Diamante
RPJV596,41,93,180,Casado,RS,7848,59,3791,Diamante
NLCX785,34,66,161,Divorciado,RJ,5344,54,1833,Ouro
EFJL612,47,71,163,Viúvo,SP,6687,59,5673,Bronze
CQEI204,28,69,182,Casado,MG,6097,91,2298,Ouro
PIKU220,55,78,165,Divorciado,MG,8109,41,2471,Prata
JJTB495,56,61,196,Divorciado,RS,3971,48,4377,Ouro
EVSH580,34,87,168,Viúvo,RS,3317,8,1659,Prata
PENL624,39,69,173,Viúvo,RJ,5900,28,2756,Ouro
MSOV796,52,81,168,Casado,SP,3771,7,2043,Ouro
ODDV521,37,57,174,Divorciado,MG,5279,72,5480,Diamante
GVRJ951,44,72,174,Solteiro,SP,4761,47,3807,Diamante
BEOF466,54,88,151,Solteiro,RJ,6995,37,4696,Prata
YOQA780,46,76,149,Viúvo,MG,6084,54,3192,Bronze
MLPL744,32,73,161,Divorciado,RS,3047,86,3913,Bronze
IHVD595,33,81,164,Viúvo,SP,3429,61,2958,Prata
UQSD406,49,76,170,Solteiro,RS,6088,29,2711,Prata
ZYYY909,61,54,172,Divorciado,MG,9881,1,3684,Ouro
ASBD371,51,62,161,Divorciado,RJ,7553,41,1846,Prata
HUPS513,40,77,177,Solteiro,SP,2914,62,1455,Bronze
YRGO325,37,64,164,Divorciado,MG,6126,58,3899,Diamante
GMCQ352,29,53,168,Casado,RS,5108,50,4263,Bronze
XVTW400,51,64,181,Casado,MG,5933,50,2027,Diamante
ZTGQ143,46,77,180,Viúvo,RJ,3374,92,2885,Diamante
TCPE851,60,69,177,Divorciado,MG,6639,52,4096,Prata
QAYB582,44,76,178,Casado,SP,3840,58,2293,Bronze
ZMWV666,41,79,163,Casado,MG,1664,59,4723,Prata
QDCZ142,33,79,177,Casado,RJ,6807,31,3553,Diamante
DUSX723,42,89,167,Divorciado,MG,6392,39,2533,Diamante
UEQK567,48,74,152,Casado,MG,2618,42,4421,Prata
HGPH928,39,89,174,Divorciado,SP,5126,25,2568,Prata
WILY248,48,65,173,Divorciado,RS,2904,68,3243,Ouro
WCFS728,36,91,163,Casado,RJ,3872,71,4681,Diamante
OZTP691,46,50,164,Solteiro,RS,728,57,1346,Prata
GEXA478,61,60,171,Casado,MG,3542,87,321,Prata
HQYX649,29,54,179,Casado,RJ,9263,25,6227,Diamante
MZZW365,42,32,163,Casado,SP,6086,43,2386,Prata
IOZO890,19,64,175,Divorciado,MG,3899,63,3088,Diamante
XQJL809,46,53,176,Viúvo,SP,4271,26,3238,Ouro
EUNM859,68,87,152,Casado,MG,5721,57,1226,Diamante
LUVI214,34,75,164,Solteiro,SP,488,59,5314,Bronze
OVTL246,33,83,169,Viúvo,SP,2701,62,2997,Prata
EPAB894,28,62,142,Solteiro,RS,4058,18,3551,Bronze
HTXB701,43,59,167,Divorciado,RJ,5942,88,2525,Bronze
BCIE404,23,92,173,Divorciado,RJ,2865,28,4119,Ouro
EXXJ156,61,79,154,Viúvo,MG,7082,36,2484,Bronze
TFFH483,34,65,141,Divorciado,RS,4775,31,1419,Bronze
USMN329,25,71,166,Divorciado,SP,4058,63,4776,Bronze
VIJS163,51,77,177,Solteiro,RJ,3191,49,3268,Prata
YJCR847,40,69,153,Divorciado,SP,2561,49,4059,Ouro
FRWF947,43,64,169,Solteiro,MG,6125,63,5059,Diamante
ALOS266,39,75,181,Divorciado,MG,5095,68,3605,Prata
XZHN451,19,71,160,Divorciado,RS,4627,49,3826,Bronze
LCNY699,37,70,168,Solteiro,RJ,4065,55,5384,Ouro
YYXF453,36,66,152,Viúvo,RJ,1416,32,3712,Bronze
QOTD869,41,74,172,Divorciado,RJ,7798,79,5893,Diamante
FYTL228,41,39,181,Viúvo,RJ,5138,106,-590,Ouro
FMWQ156,39,57,177,Viúvo,MG,3768,36,2759,Bronze
CWOM477,48,63,170,Solteiro,RJ,5242,73,4063,Bronze
HBYZ376,36,65,159,Viúvo,RS,3529,44,3135,Prata
FHFF373,46,59,171,Casado,MG,7648,57,2106,Ouro
BYVH373,40,50,180,Casado,RS,4044,43,3163,Bronze
MTMA969,34,62,168,Viúvo,MG,3003,32,3389,Ouro
LQNA567,47,75,171,Solteiro,MG,3960,75,3113,Ouro
HZKW557,40,63,158,Viúvo,MG,1903,56,6870,Ouro
DFSX901,49,54,173,Casado,RS,4601,19,3854,Ouro
ZMUW650,40,59,177,Casado,SP,5712,54,3033,Prata
CENH202,29,67,172,Divorciado,MG,8158,41,5734,Ouro
VHVD794,47,82,166,Viúvo,SP,3807,46,2960,Diamante
PHJQ904,27,73,165,Casado,MG,3353,30,2604,Prata
HKJP447,33,50,165,Divorciado,MG,5168,46,897,Diamante
WMCV848,31,79,177,Viúvo,MG,7689,30,4619,Prata
QAMU248,47,70,166,Divorciado,RJ,3390,42,3628,Ouro
UQKH801,39,68,165,Viúvo,SP,5034,32,4487,Diamante
HOVM135,46,90,171,Divorciado,RS,6113,98,1960,Ouro
ZPRF628,24,67,176,Casado,RJ,3306,40,3580,Diamante
PINH493,37,83,186,Divorciado,RS,2441,31,2833,Prata
TGBZ389,32,76,174,Solteiro,RS,2115,43,4960,Bronze
IYYC572,38,54,171,Casado,RS,4605,43,2120,Diamante
DYXL257,38,78,171,Viúvo,RJ,5314,46,6150,Ouro
PWXJ695,41,29,185,Casado,SP,3620,57,1487,Prata
VVCG404,33,79,171,Casado,RJ,4393,50,5302,Diamante
ULFS162,29,77,175,Casado,MG,4704,43,883,Prata
IZBJ574,33,70,168,Casado,RS,2627,70,6856,Diamante
DUSP732,49,57,162,Viúvo,RS,1252,36,2153,Prata
OOBM227,35,71,181,Solteiro,SP,5401,77,5144,Diamante
XSZX668,27,61,177,Viúvo,RJ,9110,49,3081,Prata
JBEC538,40,74,156,Casado,SP,8527,45,2746,Bronze
XGTS791,45,82,164,Casado,MG,5696,62,5736,Ouro
APZU109,31,55,174,Divorciado,RS,585,65,3776,Bronze
LJOL148,45,85,175,Divorciado,SP,9096,38,4242,Bronze
NUPB192,44,61,161,Divorciado,MG,5279,49,-320,Bronze
YONB786,53,92,187,Solteiro,SP,1955,46,2572,Bronze
TRCR480,42,72,180,Divorciado,RS,5324,55,3084,Bronze
KLEC651,54,48,154,Casado,MG,5263,65,3617,Diamante
FNZM825,46,53,173,Viúvo,RS,3398,64,3695,Bronze
WWMP741,32,57,174,Solteiro,MG,3223,14,2333,Diamante
PAHF242,64,70,173,Divorciado,MG,5935,26,-70,Bronze
GQXV804,16,93,157,Casado,RS,5400,63,2687,Bronze
CDFA636,46,66,170,Divorciado,MG,8948,88,4107,Prata
BQFN838,45,97,154,Divorciado,MG,3598,60,-1419,Prata
FRDO383,36,59,181,Viúvo,MG,3519,31,5735,Prata
XRTL119,27,61,171,Divorciado,RJ,6950,57,3258,Prata
HUNY382,40,69,179,Divorciado,SP,4825,64,1889,Prata
NACM544,28,63,174,Divorciado,SP,5663,61,4182,Ouro
ATFO137,60,78,165,Divorciado,SP,5304,57,3590,Bronze
MKSU759,26,75,175,Divorciado,MG,5059,67,3470,Bronze
BGKG526,26,60,186,Divorciado,RS,7992,80,5777,Prata
KLER426,30,99,181,Divorciado,SP,2030,40,2861,Ouro
MFHK812,44,81,167,Casado,MG,7809,37,4484,Prata
HUEF472,27,56,164,Divorciado,RS,5131,61,333,Diamante
EQAK715,42,91,169,Solteiro,RS,339,63,3750,Ouro
ABBH106,23,72,170,Casado,RJ,8040,46,3195,Ouro
QSBY534,50,72,159,Casado,SP,2650,39,4322,Bronze
YDDR292,58,70,162,Viúvo,SP,2690,52,866,Prata
KNDD727,42,90,167,Casado,SP,6998,53,1559,Bronze
OKCZ482,33,78,144,Casado,RS,7184,49,4598,Ouro
QMAX526,35,84,169,Viúvo,MG,5313,60,3462,Ouro
KQRI154,39,53,168,Solteiro,MG,4990,56,4500,Ouro
QPMC956,43,73,180,Solteiro,SP,1899,51,1718,Ouro
YXHM428,33,52,158,Divorciado,SP,6060,43,1678,Prata
DRMW954,48,75,144,Solteiro,RS,2198,53,3364,Prata
YXOJ122,39,53,175,Casado,RS,5908,56,2102,Prata
GNAP752,42,68,174,Casado,RS,5473,62,1399,Prata
QQDJ289,51,83,179,Casado,RS,5171,38,4010,Bronze
FXJP175,55,48,150,Solteiro,MG,2890,55,4333,Prata
VTUG637,25,66,178,Casado,SP,6082,51,3854,Bronze
SRAC600,29,74,161,Divorciado,RJ,6581,72,1711,Bronze
KCSV939,32,71,167,Casado,SP,4581,37,2151,Bronze
EUEH731,34,83,151,Solteiro,RJ,5118,51,3805,Bronze
BTJU455,31,68,189,Casado,RJ,7586,43,4157,Prata
IQCC527,48,68,159,Divorciado,SP,5308,39,3896,Bronze
ZMSE372,37,81,173,Casado,SP,5133,33,-1320,Bronze
IRTS406,67,62,167,Divorciado,MG,3148,42,5109,Bronze
KPXW667,47,67,176,Casado,RS,3165,49,662,Ouro
NWZP503,54,71,163,Viúvo,RJ,3474,35,1661,Diamante
CFAK920,46,70,175,Viúvo,RS,7671,43,3251,Ouro
LGUN650,37,75,169,Viúvo,RJ,5815,43,4631,Ouro
BSEV979,45,76,178,Casado,RJ,2856,50,3955,Ouro
RSLL364,29,43,175,Solteiro,RJ,6204,38,4078,Bronze
KWDG866,54,56,178,Solteiro,RS,5152,63,-1090,Prata
EMBC993,46,53,160,Viúvo,RS,5864,51,2057,Diamante
UEPU685,37,54,181,Casado,RJ,6092,42,5882,Diamante
JFOG808,28,50,194,Viúvo,RJ,4481,62,2350,Prata
YOVK101,50,80,160,Casado,SP,6364,66,1005,Diamante
IKSV575,29,84,179,Viúvo,RJ,2900,46,3040,Diamante
YXEC217,53,43,181,Casado,MG,4552,85,2299,Diamante
VLOX975,44,45,154,Solteiro,SP,9402,39,2823,Prata
PQOI537,49,56,192,Viúvo,MG,2315,73,529,Ouro
ZGPZ856,24,74,174,Solteiro,RJ,4062,41,2801,Bronze
MPNA310,55,97,170,Casado,RS,4083,53,5415,Ouro
PSAN870,39,60,170,Divorciado,MG,4712,64,2940,Bronze
EKHN918,38,98,170,Divorciado,SP,3451,44,1521,Prata
UMKB988,47,73,195,Viúvo,RS,6697,72,2934,Bronze
XMZP563,55,62,151,Viúvo,MG,3511,51,1892,Prata
YKKX527,28,70,153,Divorciado,RJ,9322,42,3063,Bronze
EYHL644,45,91,178,Divorciado,MG,7570,51,2429,Ouro
NACN135,47,59,183,Solteiro,RJ,5254,16,4511,Diamante
VWTI387,52,73,175,Divorciado,MG,4862,58,2490,Prata
NXVC160,45,64,176,Casado,RS,4395,57,4189,Bronze
MMHJ664,40,62,178,Divorciado,MG,6382,33,3386,Ouro
JTXS727,46,74,183,Viúvo,SP,5787,76,2298,Ouro
RKAH112,47,62,169,Viúvo,RS,3634,54,2475,Bronze
GMTI426,70,77,155,Casado,SP,5716,82,5708,Bronze
BLPC306,46,60,151,Divorciado,SP,5237,35,2091,Bronze
BFML701,45,67,190,Solteiro,SP,5983,6,2256,Ouro
HJYE477,45,78,166,Viúvo,MG,7066,59,3608,Diamante
KDAO801,45,73,191,Divorciado,RJ,5842,63,895,Prata
FZWR657,43,82,162,Solteiro,SP,5881,51,1894,Ouro
NSMN987,38,56,153,Viúvo,MG,4254,45,4109,Ouro
EXBL291,58,74,164,Casado,MG,5177,9,2983,Ouro
RACU199,27,76,167,Solteiro,SP,5213,32,1299,Bronze
NDXI320,45,87,167,Casado,RS,5262,48,2243,Prata
PHXK386,19,36,173,Casado,SP,715,36,1926,Ouro
VQTE478,25,63,174,Divorciado,RJ,3450,40,3918,Diamante
AOOF483,21,91,167,Viúvo,MG,3877,59,4929,Prata
JKWI695,33,69,183,Solteiro,RS,5940,23,1868,Prata
YLTQ562,34,68,187,Casado,MG,-343,37,2895,Bronze
FCBK436,46,75,176,Divorciado,RS,7303,103,3573,Bronze
VBRZ617,38,66,164,Divorciado,RS,2875,73,3948,Ouro
AFUZ611,27,83,175,Solteiro,MG,4286,47,6212,Ouro
HZID655,51,76,166,Solteiro,SP,7110,29,2247,Prata
HADZ458,33,96,182,Divorciado,RS,5714,45,3388,Prata
BARA862,43,77,175,Casado,MG,7624,35,2626,Diamante
ECAY946,41,97,157,Solteiro,RS,6695,87,3623,Prata
